GEOID,MHI_2018
17031804714,76959
17031804715,50373
17031804716,95527
17031804803,81118
17031804804,79351
17031804805,83662
17031804806,73313
17031804807,80957
17031804808,107174
17031804809,99643
17031804810,73136
17031804901,102379
17031804902,83876
17031805001,102135
17031805002,48029
17031805105,54572
17031805106,71979
17031805107,49161
17031805108,58904
17031805109,87889
17031805110,76350
17031805111,61052
17031805112,52150
17031805201,101552
17031805202,83894
17031805301,64331
17031805302,88287
17031805401,79958
17031805402,71044
17031805501,92500
17031805502,125764
17031805600,134167
17031805701,113576
17031805702,115417
17031805801,95489
17031805802,90504
17031805901,81250
17031805902,103417
17031806001,49912
17031806002,60682
17031806003,62859
17031806004,47274
17031806102,89139
17031806103,90000
17031806104,49967
17031806201,48151
17031806202,49359
17031806300,84974
17031806400,84250
17031806501,51667
17031806502,71359
17031806600,82708
17031806700,114167
17031806801,63580
17031806802,76295
17031806900,75186
17031807000,60542
17031807100,118971
17031807200,92547
17031807300,58958
17031807400,53734
17031807500,112565
17031807600,68815
17031807700,49009
17031807800,104875
17031807900,105132
17031808001,100549
17031808002,77240
17031808100,50291
17031808200,70169
17031808301,78828
17031808302,78250
17031808400,83634
17031808500,94471
17031808600,170313
17031808702,68542
17031808800,134583
17031808900,141250
17031809000,138966
17031809100,106815
17031809200,48648
17031809300,36406
17031809400,52283
17031809500,65685
17031809600,90625
17031809700,83036
17031809800,101364
17031809900,122083
17031810000,90185
17031810100,69436
17031810200,61743
17031810301,76910
17031810302,77162
17031810400,105598
17031810501,73429
17031810502,54172
17031810600,54525
17031810701,43587
17031810702,50707
17031810800,73462
17031810900,52871
17031811000,80208
17031811100,48672
17031811200,63495
17031811301,66655
17031811302,40511
17031811401,65269
17031811402,62014
17031811500,72011
17031811600,50703
17031811701,54691
17031811702,50663
17031811800,77566
17031811900,126250
17031812000,117941
17031812100,125590
17031812200,228229
17031812301,82218
17031812302,139189
17031812400,187917
17031812500,62500
17031812600,56415
17031812700,62800
17031812801,62054
17031812802,55179
17031812900,111607
17031813000,104792
17031813100,91250
17031813200,130880
17031813301,40536
17031813302,48233
17031813400,52274
17031813500,55168
17031813600,51086
17031813701,41707
17031813702,42123
17031813801,48088
17031813802,41044
17031813900,43571
17031814000,46225
17031814100,42176
17031814200,41533
17031814300,44440
17031814400,44867
17031814500,65638
17031814600,63814
17031814700,66771
17031814800,53072
17031814900,56663
17031815000,58015
17031815100,65182
17031815200,60687
17031815300,69167
17031815400,53393
17031815500,62167
17031815600,63383
17031815701,125486
17031815702,91607
17031815800,86458
17031815900,52642
17031816000,71389
17031816100,59485
17031816200,52357
17031816300,67905
17031816401,54274
17031816402,47976
17031816500,40632
17031816600,57880
17031816700,48381
17031816800,60857
17031816900,61484
17031817000,52200
17031817101,46234
17031817102,63141
17031817200,50167
17031817300,31500
17031817400,59926
17031817500,32900
17031817600,46591
17031817700,61250
17031817900,47847
17031818000,60066
17031818100,91023
17031818200,70790
17031818300,54597
17031818401,76042
17031818402,63243
17031818500,85958
17031818600,86331
17031818700,84417
17031818800,84053
17031818900,77711
17031819000,135208
17031819100,55076
17031819200,63846
17031819300,75639
17031819400,78571
17031819500,79464
17031819600,150273
17031819700,175078
17031819801,162765
17031819802,148646
17031819900,179338
17031820000,218000
17031820101,100339
17031820103,64152
17031820104,60000
17031820201,106317
17031820202,52478
17031820300,58301
17031820400,41144
17031820501,65016
17031820502,52894
17031820603,57557
17031820604,40746
17031820605,48148
17031820606,73281
17031820700,59467
17031820800,71831
17031820901,54625
17031820902,73646
17031821001,57148
17031821002,58153
17031821101,63429
17031821102,63388
17031821200,39939
17031821300,43870
17031821401,43560
17031821402,49300
17031821500,30222
17031821600,64102
17031821700,87500
17031821800,71316
17031821900,71393
17031822000,49359
17031822101,70030
17031822102,54004
17031822200,93723
17031822301,63973
17031822302,54241
17031822400,41902
17031822500,71949
17031822601,77500
17031822602,62843
17031822701,55662
17031822702,52963
17031822801,58569
17031822802,64646
17031822900,57857
17031823001,45292
17031823002,50024
17031823101,49702
17031823102,71830
17031823200,68208
17031823302,49662
17031823303,63065
