GEOID,work_travel_time_2017
17031590700,49390
17031600400,72100
17031600600,44295
17031600700,31680
17031600900,53855
17031610300,65195
17031610400,24560
17031610800,19000
17031611000,7305
17031611100,23345
17031611200,29900
17031611300,29995
17031611400,45405
17031611500,33735
17031611600,17440
17031611700,17280
17031611800,30955
17031611900,18290
17031612000,15450
17031612100,9845
17031620100,67945
17031620200,39695
17031620300,108645
17031620400,62900
17031630100,13800
17031630200,25255
17031630300,70380
17031630400,96345
17031630500,93035
17031630800,96585
17031630900,63995
17031640100,24365
17031640300,108715
17031640400,64860
17031640500,65025
17031640600,61890
17031640700,42020
17031640800,29960
17031650100,57505
17031650200,97420
17031650301,77615
17031650302,65920
17031650400,96180
17031650500,70410
17031660301,18790
17031660302,75835
17031660400,92295
17031660500,60445
17031660600,89820
17031660700,25205
17031660800,77960
17031660900,60695
17031661000,63425
17031661100,96945
17031670100,14210
17031670200,11960
17031670300,15925
17031670400,18380
17031670500,9225
17031670600,7355
17031670700,12505
17031670800,11865
17031670900,21565
17031671100,8615
17031671200,7515
17031671300,22120
17031671400,13940
17031671500,24155
17031671600,18085
17031671800,17985
17031671900,14430
17031672000,51335
17031680500,10330
17031680600,13860
17031680900,27280
17031681000,23210
17031681100,26550
17031681200,30180
17031681300,25330
17031681400,25755
17031690300,28995
17031690400,45730
17031690500,17930
17031690900,51960
17031691000,44470
17031691100,36180
17031691200,43440
17031691300,32775
17031691400,36625
17031691500,23765
17031700100,61675
17031700200,92570
17031700301,97330
17031700302,90605
17031700401,102725
17031700402,62785
17031700501,134285
17031700502,51465
17031710100,8950
17031710200,63860
17031710300,15020
17031710400,58975
17031710500,63050
17031710600,20670
17031710700,53950
17031710800,69510
17031710900,23085
17031711000,39460
17031711100,28760
17031711200,83535
17031711300,20775
17031711400,24545
17031711500,32290
17031720100,50375
17031720200,68460
17031720300,58060
17031720400,25390
17031720500,36940
17031720600,23955
17031720700,53430
17031730100,33720
17031730201,88865
17031730202,50760
17031730300,13240
17031730400,76565
17031730500,65265
17031730600,47800
17031730700,32645
17031740100,52115
17031740200,91395
17031740300,81485
17031740400,89165
17031750100,72480
17031750200,44745
17031750300,34685
17031750400,60725
17031750500,68430
17031750600,39020
17031760801,68915
17031760802,35595
17031760803,92055
17031770201,79735
17031770202,51750
17031770300,97330
17031770400,61140
17031770500,49295
17031770601,44250
17031770602,61320
17031770700,29070
17031770800,79900
17031770901,73035
17031770902,54335
17031800100,33865
17031800200,96775
17031800300,53030
17031800400,50470
17031800500,55125
17031800600,31720
17031800700,63995
17031800800,23070
17031800900,64255
17031801000,63395
17031801100,61720
17031801200,37975
17031801300,58730
17031801400,37400
17031801500,58330
17031801601,66320
17031801603,45510
17031801605,66890
17031801606,72185
17031801607,68735
17031801608,84270
17031801701,45710
17031801702,50580
17031801800,74090
17031801901,60985
17031801902,33295
17031802002,55870
17031802003,31365
17031802004,62370
17031802100,41180
17031802200,51315
17031802300,60865
17031802402,64990
17031802403,23890
17031802404,94655
17031802503,72635
17031802504,84380
17031802505,74455
17031802506,35990
17031802605,94195
17031802607,14840
17031802608,81680
17031802609,92015
17031802610,22290
17031802701,89865
17031802702,72290
17031802801,64230
17031802802,89690
17031802900,82150
17031803005,37250
17031803007,76750
17031803008,67385
17031803010,84915
17031803012,35960
17031803013,69185
17031803014,44930
17031803015,62505
17031803016,38975
17031803017,103490
17031803100,49370
17031803200,61435
17031803300,92750
17031803400,80175
17031803500,75250
17031803603,97305
17031803604,61095
17031803605,106125
17031803606,117125
17031803607,76615
17031803608,101570
17031803610,117190
17031803611,94900
17031803612,47675
17031803701,51860
17031803702,104800
17031803800,64650
17031803901,50290
17031803902,50300
17031804000,48040
17031804102,83460
17031804104,75750
17031804105,69885
17031804106,101900
17031804108,67635
17031804109,32240
17031804201,101625
17031804202,109670
17031804305,134300
17031804306,74275
17031804308,95675
17031804309,44270
17031804310,158265
17031804311,133445
17031804403,109870
17031804404,73135
17031804405,46670
17031804406,88475
17031804505,59495
17031804506,85865
17031804507,240570
17031804508,39180
17031804509,90680
17031804510,83290
17031804511,40535
17031804603,90990
17031804606,106290
17031804607,100195
17031804608,53890
17031804609,97895
17031804610,44245
17031804611,57735
17031804701,112850
17031804705,56340
17031804706,37255
17031804709,83405
17031804710,63370
17031804711,105945
17031804712,90370
17031804713,79775
17031804714,53710
17031804715,38200
17031804716,77950
17031804803,87435
17031804804,100950
17031804805,92455
17031804806,54550
17031804807,78370
17031804808,38125
17031804809,68355
17031804810,102260
17031804901,105530
17031804902,87760
17031805001,65130
17031805002,98960
17031805105,82990
17031805106,40820
17031805107,93665
17031805108,89625
17031805109,56440
17031805110,60505
17031805111,91885
17031805112,38745
17031805201,52945
17031805202,63410
17031805301,38260
17031805302,58400
17031805401,49415
17031805402,61155
17031805501,47265
17031805502,44960
17031805600,58850
17031805701,76920
17031805702,28235
17031805801,34465
17031805802,72690
17031805901,64785
17031805902,82385
17031806001,75380
17031806002,96385
17031806003,105305
17031806004,82425
17031806102,55710
17031806103,77790
17031806104,67440
17031806201,68910
17031806202,51065
17031806300,72300
17031806400,34120
17031806501,27485
17031806502,53235
17031806600,55865
17031806700,51510
17031806801,46135
17031806802,50045
17031806900,74015
17031807000,80395
17031807100,46485
17031807200,75465
17031807300,103820
17031807400,91075
17031807500,47705
17031807600,80945
17031807700,60650
17031807800,41230
17031807900,48860
17031808001,38610
17031808002,53490
17031808100,34070
17031808200,77460
17031808301,85450
17031808302,54625
17031808400,61460
17031808500,52145
17031808600,25435
17031808702,26840
17031808800,49930
17031808900,56595
17031809000,50745
17031809100,52545
17031809200,48105
17031809300,38170
17031809400,57360
17031809500,61250
17031809600,38015
17031809700,49975
17031809800,36290
17031809900,55020
17031810000,89610
17031810100,79250
17031810200,116875
17031810301,52405
17031810302,41425
17031810400,74620
17031810501,70690
17031810502,76120
17031810600,74235
17031810701,72075
17031810702,64835
17031810800,93885
17031810900,102770
17031811000,63520
17031811100,115175
17031811200,72040
17031811301,48715
17031811302,33070
17031811401,74060
17031811402,73805
17031811500,81230
17031811600,105145
17031811701,55365
17031811702,68665
17031811800,57935
17031811900,77215
17031812000,77730
17031812100,78380
17031812200,54755
17031812301,77850
17031812302,46225
17031812400,51355
17031812500,48235
17031812600,54265
17031812700,52040
17031812801,60705
17031812802,48375
17031812900,71250
17031813000,62720
17031813100,83715
17031813200,75415
17031813301,46710
17031813302,53815
17031813400,104145
17031813500,107470
17031813600,76115
17031813701,57525
17031813702,50250
17031813801,40045
17031813802,70505
17031813900,90800
17031814000,70000
17031814100,55800
17031814200,82190
17031814300,49165
17031814400,88045
17031814500,78370
17031814600,79305
17031814700,86410
17031814800,92865
17031814900,94130
17031815000,66395
17031815100,66465
17031815200,95540
17031815300,57840
17031815400,79655
17031815500,142105
17031815600,73365
17031815701,52355
17031815702,75340
17031815800,13640
17031815900,83235
17031816000,57620
17031816100,94830
17031816200,44985
17031816300,69625
17031816401,73000
17031816402,51600
17031816500,40740
17031816600,56535
17031816700,36325
17031816800,60380
17031816900,74460
17031817000,73790
17031817101,66770
17031817102,47450
17031817200,59555
17031817300,29365
17031817400,55925
17031817500,43630
17031817600,51320
17031817700,69015
17031817900,79525
17031818000,54730
17031818100,35475
17031818200,66975
17031818300,77360
17031818401,51340
17031818402,46360
17031818500,69265
17031818600,67450
17031818700,55135
17031818800,76665
17031818900,60225
17031819000,55400
17031819100,58530
17031819200,84870
17031819300,44485
17031819400,92445
17031819500,44780
17031819600,50705
17031819700,80885
17031819801,75360
17031819802,32300
17031819900,44785
17031820000,23200
17031820101,74520
17031820103,44225
17031820104,56130
17031820201,118930
17031820202,42670
17031820300,67120
17031820400,65370
17031820501,98720
17031820502,58325
17031820603,81140
17031820604,53935
17031820605,69855
17031820606,68305
17031820700,101050
17031820800,58905
17031820901,78280
17031820902,73980
17031821001,66375
17031821002,74910
17031821101,64105
17031821102,63515
17031821200,108675
17031821300,79025
17031821401,52815
17031821402,44085
17031821500,20105
17031821600,71915
17031821700,70400
17031821800,103055
17031821900,76825
17031822000,57915
17031822101,76085
17031822102,76160
17031822200,75550
17031822301,50255
17031822302,64900
17031822400,74505
17031822500,69765
17031822601,70215
17031822602,117540
17031822701,73430
17031822702,47275
17031822801,57630
17031822802,49055
17031822900,30165
17031823001,89845
17031823002,77530
17031823101,56945
17031823102,56330
17031823200,73270
17031823302,89535
17031823303,67205
17031823304,81675
17031823400,73880
17031823500,65910
17031823602,85605
17031823603,25155
17031823604,54190
17031823605,55415
17031823702,103280
17031823703,99985
17031823704,58615
17031823705,64885
17031823801,76275
17031823803,92845
17031823805,50840
17031823806,53175
17031823901,56905
17031823903,76655
17031823904,60725
17031824003,105265
17031824004,74115
17031824005,88520
17031824006,66780
17031824105,113300
17031824106,118620
17031824107,110870
17031824108,139095
17031824113,118615
17031824114,86085
17031824115,53285
17031824116,81165
17031824117,172565
17031824119,90540
17031824120,145455
17031824121,53805
17031824122,102755
17031824123,127025
17031824300,40350
17031824400,25280
17031824503,102865
17031824505,114220
17031824506,109145
17031824507,58350
17031824601,84515
17031824602,80460
17031824701,62455
17031824702,68590
17031824800,84415
