GEOID,perc_rental_housing_2018
17031291600,66.6666667
17031292200,69.1011236
17031292400,68.4729064
17031292500,61.1391492
17031300500,69.7940503
17031300600,54.3225806
17031300700,67.6720804
17031300800,65.7298277
17031300900,83.7245696
17031301100,70.0910273
17031301200,73.7072743
17031301600,49.7297297
17031301701,66.7613636
17031301702,55.3719008
17031301801,62.3574144
17031301802,57.7367206
17031301803,61.0534125
17031310200,58.5516179
17031310300,70.6777317
17031310400,60.7279693
17031310500,72.1062619
17031310600,77.3986152
17031310700,74.3785851
17031310800,75.2786885
17031310900,64.5697329
17031320100,58.4542241
17031320400,37.9261364
17031320600,58.854719
17031330100,43.535643
17031330200,44.9704142
17031340300,52.5035765
17031340400,63.1039531
17031340500,74.5305164
17031340600,98.8372093
17031350100,99.334221
17031350400,100
17031351000,90.5602117
17031351100,93.6333699
17031351400,85.2978454
17031351500,90.6752412
17031360200,95.890411
17031380100,75.4752852
17031380200,83.66465
17031380500,100
17031380700,90.8466819
17031381200,75.9916493
17031381400,78.4370478
17031381500,80.6818182
17031381700,#DIV/0!
17031381800,68.29653
17031381900,64.1366224
17031390100,61.387632
17031390200,37.6528117
17031390300,86.8073879
17031390400,76.3470959
17031390500,69.0571049
17031390600,52.5188917
17031390700,63.3283358
17031400300,82.6797386
17031400400,81.1538462
17031400500,84.9081365
17031400800,94.7648625
17031410100,78.3546326
17031410200,89.0044577
17031410500,72.4440895
17031410600,62.7689429
17031410700,69.7087379
17031410800,75.0141965
17031410900,59.1232877
17031411000,48.5915493
17031411100,47.2858866
17031411200,47.4930362
17031420100,98.013245
17031420200,70.7920792
17031420300,77.0083102
17031420400,83.1223629
17031420500,81.1013767
17031420600,83.0653805
17031420700,77.0618557
17031420800,75.1842752
17031421200,69.375
17031430101,86.2132353
17031430102,87.9957694
17031430200,85.6662463
17031430300,86.2513426
17031430400,72.5850966
17031430500,91.0410095
17031430600,64.2762284
17031430700,90.5263158
17031430800,59.4752187
17031430900,66.3729809
17031431200,35.9044995
17031431301,81.4046289
17031431302,86.6753756
17031431400,86.0311751
17031440101,94.9462366
17031440102,83.1136221
17031440201,82.7716933
17031440202,59.7394541
17031440300,42.2422422
17031440600,14.1700405
17031440700,32.9489292
17031440800,72.0567376
17031440900,55.9012876
17031450300,34.6686089
17031460100,61.8962433
17031460200,58.0917874
17031460301,57.6339737
17031460302,60.6457243
17031460400,53.4053156
17031460500,48.7732657
17031460600,65.8402204
17031460700,72.7470141
17031461000,88.4816754
17031470100,53.4416826
17031480100,21.218716
17031480200,44.7058824
17031480300,48.5875706
17031480400,15.4478976
17031480500,36.0909091
17031490300,31.8594104
17031490400,42.7299703
17031490500,28.0945758
17031490600,17.4460432
