GEOID,perc_below_poverty_2017
17031750400,3.9
17031750500,23.4
17031750600,33.7
17031760801,11
17031760802,12.1
17031760803,19.6
17031770201,7.9
17031770202,4.6
17031770300,2
17031770400,8.9
17031770500,25
17031770601,15.8
17031770602,18.5
17031770700,10.3
17031770800,7
17031770901,8.3
17031770902,7.8
17031800100,1.7
17031800200,3.6
17031800300,3.9
17031800400,2.8
17031800500,2.9
17031800600,2.6
17031800700,0.9
17031800800,5.1
17031800900,4.3
17031801000,5.2
17031801100,1.4
17031801200,3.9
17031801300,3.8
17031801400,1.8
17031801500,1.3
17031801601,4
17031801603,18.3
17031801605,1.6
17031801606,5.1
17031801607,6.6
17031801608,2.3
17031801701,1.4
17031801702,2.2
17031801800,7.5
17031801901,4.7
17031801902,1.9
17031802002,2.6
17031802003,1.8
17031802004,15.4
17031802100,5
17031802200,2.6
17031802300,6.3
17031802402,19
17031802403,5.4
17031802404,19.4
17031802503,9.8
17031802504,4.6
17031802505,18.6
17031802506,9.6
17031802605,3.6
17031802607,1.6
17031802608,6.6
17031802609,7.6
17031802610,1.4
17031802701,5
17031802702,6.8
17031802801,2.9
17031802802,5.3
17031802900,2.5
17031803005,7.1
17031803007,2.2
17031803008,3.1
17031803010,4.8
17031803012,2.7
17031803013,5.1
17031803014,7.6
17031803015,4
17031803016,4.4
17031803017,4.9
17031803100,2.7
17031803200,2.3
17031803300,5.8
17031803400,4.6
17031803500,6.7
17031803603,2.3
17031803604,4.3
17031803605,10.6
17031803606,23.8
17031803607,2.7
17031803608,12.1
17031803610,11.8
17031803611,14.3
17031803612,26.1
17031803701,6
17031803702,6.4
17031803800,7.1
17031803901,10.3
17031803902,5.6
17031804000,4.2
17031804102,1.4
17031804104,1.4
17031804105,2.2
17031804106,2.4
17031804108,8.4
17031804109,7.6
17031804201,7.1
17031804202,2.3
17031804305,4.4
17031804306,7.9
17031804308,6.2
17031804309,7.8
17031804310,3.3
17031804311,9.7
17031804403,15.6
17031804404,6
17031804405,17.3
17031804406,11.2
17031804505,13.7
17031804506,2.1
17031804507,3.7
17031804508,28.1
17031804509,3.9
17031804510,17.1
