GEOID,median_gross_rent_2018
17031826901,952
17031826902,920
17031827000,966
17031827100,806
17031827200,951
17031827300,756
17031827400,903
17031827500,1030
17031827600,1199
17031827700,1396
17031827801,1486
17031827802,1367
17031827804,2098
17031827805,1733
17031827901,2263
17031827902,1175
17031828000,990
17031828100,993
17031828201,1007
17031828202,924
17031828300,893
17031828401,1185
17031828402,967
17031828503,1058
17031828504,1208
17031828505,995
17031828506,833
17031828601,1039
17031828602,1712
17031828701,860
17031828702,1232
17031828801,1672
17031828802,1525
17031828900,974
17031829000,830
17031829100,877
17031829200,1013
17031829301,1276
17031829302,906
17031829401,1294
17031829402,848
17031829500,923
17031829600,856
17031829700,842
17031829800,1512
17031829901,1347
17031829902,1696
17031830001,830
17031830003,1533
17031830004,1259
17031830005,1770
17031830006,783
17031830007,988
17031830008,1921
17031830100,1753
17031830201,975
17031830202,1515
17031830300,1017
17031830400,1295
17031830500,956
17031830600,971
17031830700,771
17031830800,1176
17031830900,1379
17031831000,1997
17031831100,1080
17031831200,862
17031831300,1006
17031831400,1048
17031831500,1060
17031831600,1004
17031831700,1092
17031831800,1089
17031831900,1703
17031832000,1820
17031832100,1309
17031832200,1402
17031832300,1716
17031832400,1722
17031832500,1747
17031832600,2097
17031832900,1673
17031833000,2054
17031833100,1995
17031833300,1526
17031833900,795
17031834000,1093
17031834200,971
17031834300,776
17031834400,1188
17031834500,1014
17031834600,792
17031834700,880
17031834800,731
17031834900,796
17031835000,828
17031835100,959
17031835200,786
17031835500,442
17031835600,614
17031835700,848
17031835800,990
17031835900,715
17031836000,1095
17031836100,738
17031836200,1273
17031836300,1028
17031836400,486
17031836500,925
17031836600,1036
17031836700,950
17031836800,735
17031836900,827
17031837000,718
17031837100,916
17031837300,1049
17031837400,953
17031837800,1227
17031838000,515
17031838100,484
17031838200,1066
17031838300,1243
17031838600,743
17031838700,987
17031838800,400
17031839000,2074
17031839100,1949
17031839200,861
17031839500,289
17031839600,1026
17031839700,901
17031839800,980
17031839900,988
17031840000,945
17031840100,890
17031840200,1026
17031840300,930
17031840400,838
17031840700,819
17031840800,805
17031841000,2037
17031841100,800
17031841200,924
17031841300,906
17031841400,1145
17031841500,1030
17031841600,1222
17031841700,682
17031841800,898
17031841900,1956
17031842000,2114
17031842100,941
17031842200,1996
17031842300,1743
17031842400,1031
17031842500,392
17031842600,974
17031842800,928
17031842900,561
17031843000,888
17031843100,916
17031843200,881
17031843300,973
17031843400,639
17031843500,794
17031843600,1093
17031843700,1331
17031843800,1144
17031843900,1027
17031980000,-
17031980100,-
17031990000,-
