GEOID,perc_insured_2016
17031804404,89.5
17031804405,83.5
17031804406,82.2
17031804505,95.4
17031804506,96.2
17031804507,95.5
17031804508,76.1
17031804509,84
17031804510,73
17031804511,70.2
17031804603,85.7
17031804606,95.8
17031804607,98
17031804608,91.7
17031804609,96.5
17031804610,95
17031804611,97.4
17031804701,83.2
17031804705,85.6
17031804706,90.7
17031804709,85.2
17031804710,93.8
17031804711,88.2
17031804712,93.3
17031804713,89.8
17031804714,93
17031804715,77
17031804716,91.5
17031804803,95.4
17031804804,89.9
17031804805,94.2
17031804806,89.9
17031804807,93
17031804808,96.2
17031804809,97.5
17031804810,91.3
17031804901,97.9
17031804902,92
17031805001,99.2
17031805002,78.8
17031805105,76.3
17031805106,91.6
17031805107,76.9
17031805108,77
17031805109,94.4
17031805110,96.6
17031805111,83
17031805112,94.9
17031805201,89.1
17031805202,91.8
17031805301,88.8
17031805302,93.5
17031805401,87.1
17031805402,89.5
17031805501,89.6
17031805502,98.7
17031805600,99.5
17031805701,98.1
17031805702,96.7
17031805801,98.3
17031805802,97.1
17031805901,92.6
17031805902,91.9
17031806001,86.7
17031806002,83.2
17031806003,86.7
17031806004,82
17031806102,96.5
17031806103,94
17031806104,84.1
17031806201,88.8
17031806202,93.6
17031806300,93.4
17031806400,89.1
17031806501,87.3
17031806502,87.8
17031806600,95.7
17031806700,95.4
17031806801,85.9
17031806802,91.8
17031806900,92.6
17031807000,85.7
17031807100,96.6
17031807200,88.2
17031807300,87.8
17031807400,84
17031807500,93.9
17031807600,92.5
17031807700,88.1
17031807800,92.2
17031807900,92.6
17031808001,87.5
17031808002,94.2
17031808100,94.7
17031808200,89.2
17031808301,93.4
17031808302,92.6
17031808400,90.3
17031808500,95.5
17031808600,96
17031808702,95.7
17031808800,98.6
17031808900,98
17031809000,99.2
17031809100,95.8
17031809200,85
17031809300,97.1
17031809400,98.2
17031809500,93.7
17031809600,89.4
17031809700,94.5
17031809800,92.7
17031809900,98.3
17031810000,94.5
17031810100,94.7
17031810200,85.5
17031810301,90.6
17031810302,94.2
17031810400,94.4
17031810501,92.8
17031810502,82
17031810600,86.7
17031810701,82.3
17031810702,86.7
17031810800,86.3
17031810900,83.4
17031811000,91
17031811100,74.8
17031811200,90.7
17031811301,85.5
17031811302,84.6
17031811401,88.4
17031811402,88.5
17031811500,86.1
17031811600,86.2
17031811701,69.3
17031811702,83.5
17031811800,91.8
17031811900,97.7
17031812000,97
17031812100,96.1
17031812200,98.4
17031812301,93.3
17031812302,98.6
17031812400,97.9
17031812500,89.9
17031812600,90.1
17031812700,92.9
17031812801,95
17031812802,92
17031812900,94.8
17031813000,97.3
17031813100,90.9
17031813200,94.1
17031813301,75.9
17031813302,74.5
17031813400,76.7
17031813500,79.8
17031813600,74.9
17031813701,73.5
17031813702,73.5
17031813801,70
17031813802,70.8
17031813900,75.5
17031814000,76.1
17031814100,80.2
17031814200,75.7
17031814300,75.8
17031814400,83.3
17031814500,86.7
17031814600,85.1
17031814700,82.8
17031814800,90.3
17031814900,81.4
17031815000,82.4
17031815100,86.3
17031815200,90.8
17031815300,93
17031815400,90.5
17031815500,86
17031815600,93.6
17031815701,99.2
17031815702,88.2
17031815800,97.6
17031815900,83.2
17031816000,93.5
17031816100,87.3
17031816200,92.7
17031816300,81.6
17031816401,74.5
17031816402,76.9
17031816500,79.2
17031816600,73
17031816700,82.1
17031816800,88.2
17031816900,85.3
17031817000,89.2
17031817101,88.5
17031817102,89
17031817200,85.4
17031817300,78.5
17031817400,85.8
17031817500,76.7
17031817600,85.1
17031817700,89.2
17031817900,90.8
17031818000,84.4
17031818100,96.7
17031818200,95.4
17031818300,87.8
17031818401,90.8
17031818402,90.8
17031818500,92.9
17031818600,95
17031818700,96.6
17031818800,96.3
17031818900,92.6
17031819000,99.1
17031819100,80.3
17031819200,87.3
17031819300,90.6
17031819400,91.2
17031819500,95.2
17031819600,95.9
17031819700,99.5
17031819801,99
17031819802,98.7
17031819900,99.3
17031820000,97.9
17031820101,96.6
17031820103,92.6
17031820104,94.5
17031820201,94.6
17031820202,79.7
17031820300,83.6
17031820400,73.1
17031820501,86.1
17031820502,92.5
17031820603,88.8
17031820604,76.2
17031820605,82.5
17031820606,87.6
17031820700,84.7
17031820800,83.2
17031820901,84.3
17031820902,82
17031821001,85.1
17031821002,85.7
17031821101,86.3
17031821102,89.2
17031821200,82.5
17031821300,84
17031821401,81.5
17031821402,85
17031821500,89.7
17031821600,90.9
17031821700,96.7
17031821800,96.2
17031821900,96
17031822000,91.6
17031822101,92.2
