GEOID,Public_Assistance_Rate_2016
17031283800,38.2432432432432
17031290900,69.7556866048863
17031291200,88.8604353393086
17031291600,18.2156133828996
17031292200,81.4988290398127
17031292400,72.5321888412017
17031292500,80.4655870445344
17031300500,56.447963800905
17031300600,38.8888888888889
17031300700,72.784412319296
17031300800,80.5232558139535
17031300900,75.6801319043693
17031301100,65.9961685823755
17031301200,71.2014134275618
17031301600,80.4675324675325
17031301701,60.9232769830949
17031301702,46.8117029257314
17031301801,41.8248175182482
17031301802,48.2649842271293
17031301803,63.0283911671924
17031310200,9.36170212765957
17031310300,29.0102389078498
17031310400,61.8257261410788
17031310500,37.1014492753623
17031310600,85.419734904271
17031310700,36.6666666666667
17031310800,49.2172211350294
17031310900,39.7690827453496
17031320100,0
17031320400,0
17031320600,42.7299703264095
17031330100,13.0709246193836
17031330200,12.1875
17031340300,7.46666666666667
17031340400,39.1304347826087
17031340500,12.2093023255814
17031340600,78.3132530120482
17031350100,0
17031350400,87.2521246458924
17031351000,13.6942675159236
17031351100,88.1971465629053
17031351400,89.4736842105263
17031351500,10
17031360200,78.974358974359
17031380100,71.8181818181818
17031380200,37.5527426160338
17031380500,66.1290322580645
17031380700,44.1666666666667
17031381200,39.2116182572614
17031381400,28.5416666666667
17031381500,100
17031381700,#DIV/0!
17031381800,54.6296296296296
17031381900,53.5545023696682
17031390100,33.8842975206612
17031390200,18.4466019417476
17031390300,80.6711409395973
17031390400,30.8612440191388
17031390500,1.91693290734824
17031390600,18.4019370460048
17031390700,20.954356846473
17031400300,88.3478260869565
17031400400,82.4909747292419
17031400500,68.9809630459127
17031400800,77.007299270073
17031410100,37.7880184331797
17031410200,39.2857142857143
17031410500,19.4244604316547
17031410600,10.2167182662539
17031410700,0
17031410800,48.1072555205047
17031410900,10.9048723897912
17031411000,0
17031411100,0
17031411200,13.6054421768708
17031420100,70.957095709571
17031420200,57.5174825174825
17031420300,50.6607929515419
17031420400,58.3333333333333
17031420500,73.5849056603774
17031420600,90.4069767441861
17031420700,82.6885880077369
17031420800,76.5498652291105
17031421200,91.4847161572052
17031430101,79.9132947976879
17031430102,53.5452322738386
17031430200,79.5948987246812
17031430300,85.8407079646018
17031430400,69.5459579180509
17031430500,79.1060291060291
17031430600,47.3804100227791
17031430700,60.5108055009823
17031430800,37.7777777777778
17031430900,64.4012944983819
17031431200,33.3333333333333
17031431301,63.189448441247
17031431302,65.011636927851
17031431400,69.0343176376696
17031440101,71.620411817368
17031440102,75.6880733944954
17031440201,83.7349397590361
17031440202,36.9713506139154
17031440300,25.9520451339915
17031440600,46.7647058823529
17031440700,4.41176470588235
17031440800,70.1799485861183
17031440900,68.5670261941448
17031450300,48.0218281036835
17031460100,73.7883283877349
17031460200,85.4862119013063
17031460301,69.2024539877301
17031460302,75.0216076058773
17031460400,51.8218623481781
17031460500,45.8333333333333
17031460600,51.2562814070352
17031460700,86.577868852459
17031461000,86.7132867132867
17031470100,73.7113402061856
17031480100,33.2142857142857
17031480200,37.8531073446328
17031480300,50.8021390374332
17031480400,43.2225063938619
17031480500,37.2384937238494
17031490300,37.8421900161031
17031490400,25.2336448598131
17031490500,44.2542787286064
17031490600,60.952380952381
17031490700,69.0476190476191
17031490800,53.4682080924855
17031490901,60.3488372093023
17031490902,50.2651113467656
17031491000,91.1345319280843
17031491100,29.5851528384279
17031491200,86.2815884476534
17031491300,89.6940418679549
17031491400,99.5495495495496
17031500100,42.8832116788321
17031500200,91.4529914529915
17031500300,46.3709677419355
17031510100,51.7509727626459
17031510200,21.8579234972678
17031510300,68.4144030322173
17031520100,70.0808625336927
17031520200,54.9797570850202
