GEOID,unemployment_2019
17031836500,12.8
17031836600,7.8
17031836700,9.9
17031836800,16.8
17031836900,12.5
17031837000,14.2
17031837100,15.1
17031837300,17.5
17031837400,23.7
17031837800,8.6
17031838000,5.5
17031838100,7.5
17031838200,5.3
17031838300,3.2
17031838600,17.2
17031838700,18.5
17031838800,13.9
17031839000,6
17031839100,4.9
17031839200,7.8
17031839500,4.4
17031839600,9.9
17031839700,6.5
17031839800,3
17031839900,6.7
17031840000,4.3
17031840100,9.9
17031840200,5.1
17031840300,7
17031840400,6.5
17031840700,4.2
17031840800,7.4
17031841000,1.2
17031841100,6.2
17031841200,6.2
17031841300,7.1
17031841400,15.9
17031841500,13.7
17031841600,13.2
17031841700,15.1
17031841800,15.7
17031841900,13.5
17031842000,6.3
17031842100,9.6
17031842200,1.8
17031842300,6.7
17031842400,16.4
17031842500,34.2
17031842600,4.3
17031842800,4.1
17031842900,10.1
17031843000,8.5
17031843100,6.7
17031843200,2.5
17031843300,15.5
17031843400,5.1
17031843500,5.1
17031843600,18.6
17031843700,2.8
17031843800,26.4
17031843900,6.6
17031980000,-
17031980100,-
17031990000,-
