GEOID,perc_hs_grad_2019
17031816100,93.8
17031816200,84.9
17031816300,74.5
17031816401,63.6
17031816402,69
17031816500,66.4
17031816600,54.8
17031816700,71.1
17031816800,82.5
17031816900,81.5
17031817000,82.1
17031817101,92.1
17031817102,88.3
17031817200,84.5
17031817300,87.1
17031817400,68.9
17031817500,79.3
17031817600,83.7
17031817700,83
17031817900,87
17031818000,95.3
17031818100,91.3
17031818200,94.3
17031818300,78.4
17031818401,93.3
17031818402,93.2
17031818500,94.6
17031818600,92
17031818700,93.4
17031818800,96.5
17031818900,95.9
17031819000,97.5
17031819100,80.7
17031819200,88.8
17031819300,92.2
17031819400,93.2
17031819500,93.8
17031819600,98.4
17031819700,99.4
17031819801,99.6
17031819802,98.8
17031819900,99.2
17031820000,99.8
17031820101,96.1
17031820103,88.9
17031820104,91.9
17031820201,95.1
17031820202,79.6
17031820300,66.6
17031820400,66.3
17031820501,87.6
17031820502,80.9
17031820603,79.4
17031820604,79.3
17031820605,87.3
17031820606,89.6
17031820700,81.4
17031820800,88.1
17031820901,79.7
17031820902,84.4
17031821001,85.5
17031821002,78.6
17031821101,79.6
17031821102,82.6
17031821200,76.4
17031821300,67.7
17031821401,89.1
17031821402,93.9
17031821500,82.8
17031821600,92.5
17031821700,93.6
17031821800,94
17031821900,94.1
17031822000,83.5
17031822101,88.3
17031822102,88.4
17031822200,96.8
17031822301,86.5
17031822302,83.7
17031822400,86.7
17031822500,87.5
17031822601,90.7
17031822602,90
17031822701,95.2
17031822702,90.4
17031822801,95.9
17031822802,92.2
17031822900,88.6
17031823001,89.5
17031823002,90.9
17031823101,88.1
17031823102,88.6
17031823200,90.5
17031823302,89
17031823303,90.1
17031823304,90.2
17031823400,89.9
17031823500,84
17031823602,92.7
17031823603,67.1
17031823604,94.3
17031823605,94.5
17031823702,88.5
17031823703,80
17031823704,90.4
17031823705,89.2
17031823801,94.6
17031823803,92.3
17031823805,95.4
17031823806,92.7
17031823901,95.6
17031823903,95.1
17031823904,96.6
17031824003,96.6
17031824004,94.2
17031824005,94.1
17031824006,94.8
17031824105,94.5
17031824106,93.6
17031824107,92
17031824108,92.9
17031824113,89.2
17031824114,99
17031824115,91.4
17031824116,91.2
17031824117,96.6
17031824119,92.1
17031824120,95.5
17031824121,94.2
17031824122,96.3
17031824123,96
17031824300,83.4
17031824400,87
17031824503,93.1
17031824505,95.3
17031824506,94.7
17031824507,91.3
17031824601,92
17031824602,92.9
17031824701,89.5
17031824702,85.6
17031824800,74
17031824900,84.5
17031825000,82.7
17031825200,82.6
17031825302,89.5
17031825303,90.2
17031825304,91.6
17031825400,95.4
17031825501,94.9
17031825503,97.9
17031825504,92.7
17031825505,94.6
17031825600,86
17031825700,86.1
17031825801,93.2
17031825802,87.1
17031825803,90
17031825900,87.1
17031826000,74.8
17031826100,81
17031826201,90
17031826202,86.9
17031826301,87.6
17031826303,90.7
17031826304,88.4
17031826401,93
17031826402,93.4
17031826500,82.7
17031826600,86
17031826700,92.2
17031826800,77.2
17031826901,73.7
17031826902,82.3
17031827000,87.2
17031827100,88
17031827200,74.3
17031827300,81.2
17031827400,83.1
17031827500,71.1
17031827600,92.1
17031827700,86.7
17031827801,91.9
17031827802,93.6
17031827804,93.1
17031827805,91.2
17031827901,88.2
17031827902,87.2
17031828000,88.4
17031828100,86.6
17031828201,92.6
17031828202,94.6
17031828300,93.6
17031828401,96.8
17031828402,87.8
17031828503,91.9
17031828504,90.8
17031828505,96.7
17031828506,92.9
17031828601,93.9
17031828602,95.3
17031828701,91.3
17031828702,91.1
17031828801,93.7
17031828802,92.1
17031828900,77.6
17031829000,87.6
17031829100,72.7
17031829200,73.9
17031829301,88.7
17031829302,76.9
17031829401,85.1
17031829402,95.7
17031829500,82.8
17031829600,86.5
17031829700,90.9
17031829800,97.9
17031829901,94.7
17031829902,98.3
17031830001,86.6
17031830003,95.8
17031830004,95.7
17031830005,95.6
17031830006,88.1
17031830007,94.8
17031830008,95.6
17031830100,96.7
17031830201,92.3
17031830202,84.4
17031830300,96
17031830400,96.3
17031830500,56.7
17031830600,82.4
17031830700,88.2
17031830800,99.6
17031830900,90.4
17031831000,98.9
17031831100,76.6
17031831200,63.9
17031831300,80.6
17031831400,79.4
17031831500,75.6
17031831600,72.4
17031831700,79.9
17031831800,88.9
17031831900,99.2
17031832000,97.3
17031832100,97.7
17031832200,95.9
17031832300,98.9
17031832400,95.3
17031832500,92.7
17031832600,98.8
17031832900,99.1
17031833000,99
17031833100,94.4
17031833300,96
17031833900,73.8
17031834000,83
17031834200,96.4
17031834300,91.1
17031834400,87.8
17031834500,87
17031834600,78.4
17031834700,67.7
17031834800,82.9
17031834900,66.2
17031835000,78.5
17031835100,58.8
17031835200,75.3
17031835500,76.7
17031835600,80.5
17031835700,100
17031835800,87.9
17031835900,81.9
17031836000,95.4
17031836100,86
17031836200,100
17031836300,98
17031836400,91.2
17031836500,89.2
17031836600,83.1
17031836700,82.2
17031836800,63.6
17031836900,83.4
17031837000,83
17031837100,77.2
17031837300,83.6
17031837400,78.1
17031837800,85.6
17031838000,87.8
17031838100,73.9
17031838200,93.2
17031838300,91.6
17031838600,65.9
17031838700,72.5
17031838800,74.3
17031839000,97.5
17031839100,94.3
17031839200,86.7
17031839500,81
17031839600,86.3
17031839700,82.7
17031839800,84.2
17031839900,87.1
17031840000,88.1
17031840100,82.3
17031840200,70.3
17031840300,70.1
17031840400,72.9
17031840700,58.8
17031840800,56.9
17031841000,96.9
17031841100,58.6
17031841200,73
17031841300,71.3
17031841400,88.2
17031841500,86.2
17031841600,70
17031841700,50.3
17031841800,88.6
17031841900,94.4
17031842000,87.1
17031842100,75.3
17031842200,95
17031842300,98.3
17031842400,86.4
