GEOID,YEAR,house_value
"Census Tract 1609, Cook County, Illinois!!Estimate",2016,369700
"Census Tract 1610, Cook County, Illinois!!Estimate",2016,469400
"Census Tract 1611, Cook County, Illinois!!Estimate",2016,414100
"Census Tract 1612, Cook County, Illinois!!Estimate",2016,249500
"Census Tract 1613, Cook County, Illinois!!Estimate",2016,235600
"Census Tract 1701, Cook County, Illinois!!Estimate",2016,157800
"Census Tract 1702, Cook County, Illinois!!Estimate",2016,224900
"Census Tract 1703, Cook County, Illinois!!Estimate",2016,224300
"Census Tract 1704, Cook County, Illinois!!Estimate",2016,224500
"Census Tract 1705, Cook County, Illinois!!Estimate",2016,243000
"Census Tract 1706, Cook County, Illinois!!Estimate",2016,254800
"Census Tract 1707, Cook County, Illinois!!Estimate",2016,226200
"Census Tract 1708, Cook County, Illinois!!Estimate",2016,236900
"Census Tract 1709, Cook County, Illinois!!Estimate",2016,226700
"Census Tract 1710, Cook County, Illinois!!Estimate",2016,234100
"Census Tract 1711, Cook County, Illinois!!Estimate",2016,230400
"Census Tract 1801, Cook County, Illinois!!Estimate",2016,223300
"Census Tract 1901, Cook County, Illinois!!Estimate",2016,212700
"Census Tract 1902, Cook County, Illinois!!Estimate",2016,235000
"Census Tract 1903, Cook County, Illinois!!Estimate",2016,235100
"Census Tract 1904.01, Cook County, Illinois!!Estimate",2016,224600
"Census Tract 1904.02, Cook County, Illinois!!Estimate",2016,244400
"Census Tract 1906.01, Cook County, Illinois!!Estimate",2016,190800
"Census Tract 1906.02, Cook County, Illinois!!Estimate",2016,194400
"Census Tract 1907.01, Cook County, Illinois!!Estimate",2016,210500
"Census Tract 1907.02, Cook County, Illinois!!Estimate",2016,187800
"Census Tract 1908, Cook County, Illinois!!Estimate",2016,236900
"Census Tract 1909, Cook County, Illinois!!Estimate",2016,196400
"Census Tract 1910, Cook County, Illinois!!Estimate",2016,181500
"Census Tract 1911, Cook County, Illinois!!Estimate",2016,181000
"Census Tract 1912, Cook County, Illinois!!Estimate",2016,192200
"Census Tract 1913.01, Cook County, Illinois!!Estimate",2016,184200
"Census Tract 1913.02, Cook County, Illinois!!Estimate",2016,178800
"Census Tract 2001, Cook County, Illinois!!Estimate",2016,224500
"Census Tract 2002, Cook County, Illinois!!Estimate",2016,211700
"Census Tract 2003, Cook County, Illinois!!Estimate",2016,185000
"Census Tract 2004.01, Cook County, Illinois!!Estimate",2016,215000
"Census Tract 2004.02, Cook County, Illinois!!Estimate",2016,270300
"Census Tract 2101, Cook County, Illinois!!Estimate",2016,311200
"Census Tract 2104, Cook County, Illinois!!Estimate",2016,258700
"Census Tract 2105.01, Cook County, Illinois!!Estimate",2016,251100
"Census Tract 2105.02, Cook County, Illinois!!Estimate",2016,231300
"Census Tract 2106.01, Cook County, Illinois!!Estimate",2016,262300
"Census Tract 2106.02, Cook County, Illinois!!Estimate",2016,264400
"Census Tract 2107, Cook County, Illinois!!Estimate",2016,293600
"Census Tract 2108, Cook County, Illinois!!Estimate",2016,320000
"Census Tract 2109, Cook County, Illinois!!Estimate",2016,320000
"Census Tract 2203, Cook County, Illinois!!Estimate",2016,404000
"Census Tract 2204, Cook County, Illinois!!Estimate",2016,382100
"Census Tract 2205, Cook County, Illinois!!Estimate",2016,317400
"Census Tract 2206.01, Cook County, Illinois!!Estimate",2016,406900
"Census Tract 2206.02, Cook County, Illinois!!Estimate",2016,372900
"Census Tract 2207.01, Cook County, Illinois!!Estimate",2016,262200
"Census Tract 2207.02, Cook County, Illinois!!Estimate",2016,298300
"Census Tract 2209.01, Cook County, Illinois!!Estimate",2016,202400
"Census Tract 2209.02, Cook County, Illinois!!Estimate",2016,249200
"Census Tract 2210, Cook County, Illinois!!Estimate",2016,263200
"Census Tract 2211, Cook County, Illinois!!Estimate",2016,314200
"Census Tract 2212, Cook County, Illinois!!Estimate",2016,317500
"Census Tract 2213, Cook County, Illinois!!Estimate",2016,307600
"Census Tract 2214, Cook County, Illinois!!Estimate",2016,332600
"Census Tract 2215, Cook County, Illinois!!Estimate",2016,427400
"Census Tract 2216, Cook County, Illinois!!Estimate",2016,535900
"Census Tract 2222, Cook County, Illinois!!Estimate",2016,507500
"Census Tract 2225, Cook County, Illinois!!Estimate",2016,275700
"Census Tract 2226, Cook County, Illinois!!Estimate",2016,338200
"Census Tract 2227, Cook County, Illinois!!Estimate",2016,246100
"Census Tract 2228, Cook County, Illinois!!Estimate",2016,233700
