,census_tract,EDU_2016
477,4802,29.4
478,4803,39.7
479,4804,37.3
480,4805,21.7
481,4903,29
482,4904,44.3
483,4905,50.9
484,4906,34.8
485,4907,27.3
486,4908,24.3
487,4909.01,28.2
488,4909.02,20.9
489,4910,10.7
490,4911,15
491,4912,18.7
492,4913,34.2
493,4914,23.8
494,5001,28.1
495,5002,35.6
496,5003,22
497,5101,25
498,5102,30.3
499,5103,16.2
500,5201,12.2
501,5202,18.1
502,5203,16.1
503,5204,28.1
504,5205,30
505,5206,15.4
506,5301,26.3
507,5302,15.1
508,5303,24.3
509,5304,25.4
510,5305.01,14.5
511,5305.02,35.4
512,5305.03,27.4
513,5306,26.9
514,5401.01,9.8
515,5401.02,13.8
516,5501,28
517,5502,16.4
518,5601,15
519,5602,26.4
520,5603,26.4
521,5604,29.9
522,5607,17.9
523,5608,27.1
524,5609,29.8
525,5610,33.1
526,5611,25.6
527,5701,30.3
528,5702,37.5
529,5703,18.3
530,5704,32.1
531,5705,26.2
532,5801,25.2
533,5802,15.7
534,5803,25.6
535,5804,12.7
536,5805.01,21.7
537,5805.02,27.5
538,5806,15.4
539,5807,17.4
540,5808,21.8
541,5905,38.5
542,5906,23.5
543,5907,17.1
544,6004,31.1
545,6006,31.3
546,6007,46.2
547,6009,39.7
548,6103,17.3
549,6104,19.5
550,6108,19.9
551,6110,18.6
552,6111,11.5
553,6112,11
554,6113,15.4
555,6114,14.9
556,6115,16.4
557,6116,24.4
558,6117,20.1
559,6118,23.5
560,6119,9
561,6120,19.3
562,6121,43.3
563,6201,18.9
564,6202,34.9
565,6203,20.1
566,6204,22.1
567,6301,16.4
568,6302,10.3
569,6303,16.7
570,6304,16
571,6305,10.8
572,6308,13.5
573,6309,15.2
574,6401,37.3
575,6403,27.1
576,6404,21.5
577,6405,38.8
578,6406,24.3
579,6407,17.5
580,6408,14.2
581,6501,19
582,6502,13.4
583,6503.01,14.3
584,6503.02,14.9
585,6504,22.4
586,6505,20.2
587,6603.01,11.1
588,6603.02,10.9
589,6604,16.2
590,6605,16.8
591,6606,28
592,6607,18.7
593,6608,9.8
594,6609,14.5
595,6610,15.9
596,6611,21.9
597,6701,13.1
598,6702,25.8
599,6703,25.9
600,6704,21.5
601,6705,16.3
602,6706,6.1
603,6707,10.2
604,6708,12.3
605,6709,18
606,6711,2
607,6712,14.1
608,6713,19.5
609,6714,28.3
610,6715,17.5
611,6716,27
612,6718,13.8
613,6719,30.2
614,6720,11.7
615,6805,1.3
616,6806,21.5
617,6809,32.4
618,6810,28.9
619,6811,20.8
620,6812,15.8
621,6813,22.2
622,6814,6.9
623,6903,23.5
624,6904,27
625,6905,34.1
626,6909,32
627,6910,36.6
628,6911,20.9
629,6912,10.8
630,6913,21.7
631,6914,31.1
632,6915,37.7
633,7001,25.3
634,7002,18.6
635,7003.01,19
636,7003.02,29.6
637,7004.01,25.7
638,7004.02,22.7
639,7005.01,27.3
640,7005.02,29.9
641,7101,27.6
642,7102,25.2
643,7103,18.5
644,7104,26.7
645,7105,29
646,7106,25.1
647,7107,26.8
648,7108,55.8
649,7109,16.1
650,7110,23.8
651,7111,16.1
652,7112,29.2
653,7113,31.3
654,7114,35.4
655,7115,29.3
656,7201,23.4
657,7202,28.4
658,7203,25
659,7204,21.4
660,7205,26.3
661,7206,27
662,7207,32.1
663,7301,34.2
664,7302.01,32.5
665,7302.02,17.9
666,7303,25.4
667,7304,38.2
668,7305,20.3
669,7306,33.9
670,7307,38.4
671,7401,27.3
672,7402,45.2
673,7403,21.8
674,7404,30.8
675,7501,39.7
676,7502,18.1
677,7503,20.6
678,7504,32.4
679,7505,24.5
680,7506,17.8
681,7608.01,46.9
682,7608.02,16.3
683,7608.03,30.5
684,7702.01,28.4
685,7702.02,29.5
686,7703,38.1
687,7704,30.6
688,7705,9.7
689,7706.01,33.8
690,7706.02,20
691,7707,28.8
692,7708,33.1
693,7709.01,32.2
694,7709.02,20.2
695,8001,9.9
696,8002,9.4
697,8003,10.9
698,8004,8.6
699,8005,10.7
700,8006,9.7
701,8007,15.2
702,8008,11.5
703,8009,16.8
704,8010,7.9
705,8011,8.6
706,8012,23.9
707,8013,10
708,8014,18.9
709,8015,16.4
710,8016.01,19.9
711,8016.03,27
712,8016.05,16.7
713,8016.06,22.6
714,8016.07,28.3
715,8016.08,15.3
716,8017.01,11.6
717,8017.02,14.7
718,8018,20.2
719,8019.01,17.3
720,8019.02,17.5
721,8020.02,9.8
722,8020.03,17.6
723,8020.04,26
724,8021,6.6
725,8022,10.7
726,8023,17.4
727,8024.02,21.7
728,8024.03,32.5
729,8024.04,23.1
730,8025.03,24.1
731,8025.04,23.8
732,8025.05,15
733,8025.06,15.3
734,8026.05,18.5
735,8026.07,13.1
736,8026.08,21.5
737,8026.09,32.5
738,8026.10,28.9
739,8027.01,23.1
740,8027.02,33.1
741,8028.01,28.5
742,8028.02,19.9
743,8029,14.9
744,8030.05,30.3
745,8030.07,29.8
746,8030.08,21.4
747,8030.10,15.1
748,8030.12,22.4
749,8030.13,26.6
750,8030.14,28.5
751,8030.15,24.4
752,8030.16,18.6
753,8030.17,35.9
754,8031,19.1
755,8032,27.5
756,8033,28.3
757,8034,14.9
758,8035,17.4
759,8036.03,27.5
760,8036.04,22.3
761,8036.05,25.3
762,8036.06,12.4
763,8036.07,21.1
764,8036.08,23.1
765,8036.10,28.5
766,8036.11,21
767,8036.12,18.5
768,8037.01,27.7
769,8037.02,24.1
770,8038,23.8
771,8039.01,26
772,8039.02,23.8
773,8040,33.5
774,8041.02,21.9
775,8041.04,22.4
776,8041.05,20.6
777,8041.06,21
778,8041.08,30.2
779,8041.09,16.9
780,8042.01,18.4
781,8042.02,16.5
782,8043.05,21.7
783,8043.06,33.9
784,8043.08,25.6
785,8043.09,20.1
786,8043.10,17.4
787,8043.11,16.2
788,8044.03,19.9
789,8044.04,17.3
790,8044.05,17.2
791,8044.06,22.5
792,8045.05,22.5
793,8045.06,23.8
794,8045.07,17.6
795,8045.08,22.4
796,8045.09,20.5
797,8045.10,16.3
798,8045.11,13
799,8046.03,30
800,8046.06,29.3
801,8046.07,29.1
802,8046.08,27.6
803,8046.09,26.3
804,8046.10,37.1
805,8046.11,29.9
806,8047.01,14
807,8047.05,31.1
808,8047.06,30
809,8047.09,36.9
810,8047.10,24.5
811,8047.11,22.6
812,8047.12,25.4
813,8047.13,30.4
814,8047.14,34.7
815,8047.15,31.8
816,8047.16,18.5
817,8048.03,25
818,8048.04,25.2
819,8048.05,18.7
820,8048.06,25.3
821,8048.07,21.1
822,8048.08,25
823,8048.09,20.5
824,8048.10,16
825,8049.01,26.8
826,8049.02,21.2
827,8050.01,15.3
828,8050.02,27.8
829,8051.05,15.6
830,8051.06,29.7
831,8051.07,34.3
832,8051.08,30.2
833,8051.09,21.9
834,8051.10,17
835,8051.11,24.1
836,8051.12,27.7
837,8052.01,37.4
838,8052.02,18.9
839,8053.01,30.3
840,8053.02,42.9
841,8054.01,32.2
842,8054.02,35.2
843,8055.01,26
844,8055.02,14.7
845,8056,20.4
846,8057.01,18.9
847,8057.02,15.4
848,8058.01,25.6
849,8058.02,25.2
850,8059.01,35.9
851,8059.02,23.8
852,8060.01,44.5
853,8060.02,32.6
854,8060.03,26.4
855,8060.04,35.8
856,8061.02,22.8
857,8061.03,21.6
858,8061.04,20.3
859,8062.01,21.6
860,8062.02,12.6
861,8063,31.4
862,8064,24.5
863,8065.01,27.2
864,8065.02,25.9
865,8066,15.2
866,8067,24.5
867,8068.01,31.5
868,8068.02,22.4
869,8069,28.6
870,8070,27.7
871,8071,23.7
872,8072,24.2
873,8073,39.4
874,8074,31.8
875,8075,24.6
876,8076,36.2
877,8077,19.6
878,8078,27.8
879,8079,24.4
880,8080.01,42.1
881,8080.02,17.4
882,8081,29.6
883,8082,37.2
884,8083.01,35.9
885,8083.02,37.7
886,8084,29.5
887,8085,35.4
888,8086,17.9
889,8087.02,98.6
890,8088,53.2
891,8089,20.4
892,8090,13.6
893,8091,7.1
894,8092,27.5
895,8093,85.7
896,8094,87.2
897,8095,58.7
898,8096,36.2
899,8097,25.4
900,8098,21.9
901,8099,26.4
902,8100,44.8
903,8101,31.5
904,8102,25.7
905,8103.01,25
906,8103.02,17.2
907,8104,17
908,8105.01,35.6
909,8105.02,42.3
910,8106,30.6
911,8107.01,21.4
912,8107.02,27.5
913,8108,40.4
914,8109,36
915,8110,32.4
916,8111,35.1
917,8112,18.4
918,8113.01,22.3
919,8113.02,13.7
920,8114.01,20.7
921,8114.02,36.2
922,8115,39.4
923,8116,23.9
924,8117.01,34.5
925,8117.02,23.6
926,8118,21.8
927,8119,46.5
928,8120,21.9
929,8121,15.3
930,8122,15.5
931,8123.01,46.2
932,8123.02,36.1
933,8124,19.3
934,8125,27.3
935,8126,42
936,8127,41.9
937,8128.01,36
938,8128.02,37.3
939,8129,24.3
940,8130,29.3
941,8131,36.9
942,8132,20.2
943,8133.01,9.3
944,8133.02,19.9
945,8134,10.1
946,8135,23.9
947,8136,19.8
948,8137.01,16.1
949,8137.02,12.4
950,8138.01,19.3
951,8138.02,22.1
952,8139,22.9
953,8140,23.3
954,8141,26.3
955,8142,25.9
956,8143,18.5
957,8144,23.2
958,8145,24.7
959,8146,21.5
960,8147,26.7
961,8148,41
962,8149,27.5
963,8150,29.4
964,8151,35.8
965,8152,15.1
966,8153,25.7
967,8154,24.8
968,8155,27.1
969,8156,34.7
970,8157.01,25
971,8157.02,16.2
972,8158,19
973,8159,48.9
974,8160,43.7
975,8161,37.1
976,8162,32.1
977,8163,23
978,8164.01,20.1
979,8164.02,11.8
980,8165,13.1
981,8166,17.4
982,8167,12.1
983,8168,21
984,8169,19.3
985,8170,26
986,8171.01,25.2
987,8171.02,29.3
988,8172,25.9
989,8173,16.2
990,8174,26.6
991,8175,14.9
992,8176,40.2
993,8177,24.4
994,8179,23.5
995,8180,36.8
996,8181,15.8
997,8182,30
998,8183,24
999,8184.01,31.7
1000,8184.02,29.8
1001,8185,27
1002,8186,25.5
1003,8187,25.5
1004,8188,26
1005,8189,21.6
1006,8190,17.3
1007,8191,23.8
1008,8192,29.8
1009,8193,36.5
1010,8194,22
