GEOID,perc_college_grad_2017
17031700402,15
17031700501,18
17031700502,15.7
17031710100,5.1
17031710200,7
17031710300,8.1
17031710400,4.5
17031710500,10.3
17031710600,7.2
17031710700,7.7
17031710800,15.6
17031710900,12.4
17031711000,10.4
17031711100,8.9
17031711200,13
17031711300,7.7
17031711400,10.9
17031711500,8.8
17031720100,32
17031720200,20.8
17031720300,27.7
17031720400,25.8
17031720500,36.9
17031720600,33.3
17031720700,26.6
17031730100,20.1
17031730201,13.9
17031730202,10.5
17031730300,13.1
17031730400,14.7
17031730500,11.4
17031730600,14.2
17031730700,12.4
17031740100,17.5
17031740200,26.5
17031740300,23.3
17031740400,24.9
17031750100,10.9
17031750200,20.7
17031750300,29
17031750400,24.8
17031750500,16.1
17031750600,9.2
17031760801,34.9
17031760802,24.4
17031760803,16.5
17031770201,26
17031770202,16.9
17031770300,17.2
17031770400,17.4
17031770500,6.9
17031770601,19.4
17031770602,13.9
17031770700,13.2
17031770800,15.1
17031770901,16.6
17031770902,18.7
17031800100,35.1
17031800200,37
17031800300,36.7
17031800400,36.3
17031800500,48.7
17031800600,43.4
17031800700,37.4
17031800800,40.2
17031800900,33
17031801000,36.2
17031801100,35.5
17031801200,26
17031801300,32.2
17031801400,28.2
17031801500,37.7
17031801601,33.2
17031801603,29.4
17031801605,35.5
17031801606,36.1
17031801607,32.5
17031801608,35
17031801701,42.8
17031801702,39.4
17031801800,41
17031801901,36
17031801902,44.1
17031802002,27.1
17031802003,38.2
17031802004,22.3
17031802100,39.7
17031802200,38.6
17031802300,38.8
17031802402,16.6
17031802403,33.4
17031802404,21.1
17031802503,32.9
17031802504,14.7
17031802505,26.4
17031802506,18.7
17031802605,30
17031802607,26.6
17031802608,27.5
17031802609,17.8
17031802610,25.1
17031802701,24.4
17031802702,26.2
17031802801,31.3
17031802802,25.5
17031802900,40.8
17031803005,33.4
17031803007,39.5
17031803008,39.2
17031803010,32.2
17031803012,35.4
17031803013,36.6
17031803014,26.7
17031803015,35.6
17031803016,42.4
17031803017,37.5
17031803100,35.3
17031803200,29.5
17031803300,34.4
17031803400,40.2
17031803500,35.4
17031803603,34.8
17031803604,33.4
17031803605,34.7
17031803606,12.3
17031803607,32.5
17031803608,28.7
17031803610,30.6
17031803611,24.2
17031803612,20.5
17031803701,36.5
17031803702,37.4
