PERMIT#,PERMIT_TYPE,REVIEW_TYPE,ISSUE_DATE,STREET_NUMBER,STREET DIRECTION,STREET_NAME,SUFFIX,COMMUNITY_AREA,CENSUS_TRACT,WARD
100839232,PERMIT - EASY PERMIT PROCESS,EASY PERMIT WEB,9/4/19,6018,N,OZANAM,AVE,10,100400,41
100839240,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,1246,W,ALTGELD,ST,7,70500,43
100839249,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/11/19,3420,N,CALIFORNIA,AVE,21,210100,33
100839243,PERMIT - RENOVATION/ALTERATION,SELF CERT,9/9/19,540,W,MADISON,ST,28,280100,42
100839244,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,7903,S,RACINE,AVE,71,710800,17
100839246,PERMIT - SIGNS,SIGN PERMIT,11/5/19,4371,S,ARCHER,AVE,58,580502,15
100839247,PERMIT - SIGNS,SIGN PERMIT,11/5/19,4371,S,ARCHER,AVE,58,580502,15
100839248,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/5/19,4642,S,ST LOUIS,AVE,58,580400,14
100839254,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,9650,W,FOSTER,AVE,76,770700,41
100839255,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,1645,W,OGDEN,AVE,28,838100,28
100839257,PERMIT - SCAFFOLDING,EASY PERMIT,9/4/19,121,W,WACKER,DR,32,839100,42
100839258,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,501,W,24TH,PL,34,841100,11
100839260,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,3133,E,106TH,ST,51,838800,10
100839262,PERMIT - SIGNS,SIGN PERMIT,12/5/19,5114,S,KNOX,AVE,56,835200,14
100839267,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,9/4/19,6525,W,DIVERSEY,AVE,19,831500,36
100839268,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/12/19,20,E,CEDAR,ST,8,81202,2
100839269,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,2522,N,MILWAUKEE,AVE,22,220500,32
100839270,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/11/19,2207,E,84TH,ST,46,460500,7
100839280,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,9/4/19,4809,N,FAIRFIELD,AVE,4,40201,40
100839274,PERMIT - ELEVATOR EQUIPMENT,CONVEYANCE DEVICE PERMIT,9/4/19,2434,N,SACRAMENTO,AVE,22,220400,1
