,census_tract,MHI_2016
392,3404,"33,173"
393,3405,"20,990"
394,3406,"11,964"
395,3501,"41,645"
396,3504,"11,250"
397,3510,"42,324"
398,3511,"11,310"
399,3514,"10,942"
400,3515,"23,603"
401,3602,"24,500"
402,3801,"19,747"
403,3802,"18,063"
404,3805,"21,250"
405,3807,"26,000"
406,3812,"34,833"
407,3814,"34,327"
408,3815,-
409,3817,-
410,3818,"32,500"
411,3819,"31,602"
412,3901,"62,292"
413,3902,"44,848"
414,3903,"18,808"
415,3904,"24,178"
416,3905,"45,875"
417,3906,"80,583"
418,3907,"51,201"
419,4003,"20,250"
420,4004,"31,938"
421,4005,"25,346"
422,4008,"18,859"
423,4101,"40,287"
424,4102,"21,250"
425,4105,"51,875"
426,4106,"35,636"
427,4107,"38,260"
428,4108,"40,153"
429,4109,"52,817"
430,4110,"66,211"
431,4111,"104,301"
432,4112,"82,667"
433,4201,"19,034"
434,4202,"37,610"
435,4203,"29,960"
436,4204,"14,500"
437,4205,"22,353"
438,4206,"17,731"
439,4207,"20,573"
440,4208,"29,688"
441,4212,"21,658"
442,4301.01,"33,849"
443,4301.02,"20,889"
444,4302,"23,606"
445,4303,"15,723"
446,4304,"18,125"
447,4305,"19,872"
448,4306,"28,214"
449,4307,"19,688"
450,4308,"42,292"
451,4309,"32,500"
452,4312,"52,095"
453,4313.01,"21,362"
454,4313.02,"22,407"
455,4314,"21,727"
456,4401.01,"22,306"
457,4401.02,"22,619"
458,4402.01,"33,125"
459,4402.02,"28,984"
460,4403,"53,345"
461,4406,"54,808"
462,4407,"35,625"
463,4408,"22,371"
464,4409,"33,281"
465,4503,"44,254"
466,4601,"31,008"
467,4602,"27,353"
468,4603.01,"29,125"
469,4603.02,"20,944"
470,4604,"43,341"
471,4605,"36,227"
472,4606,"31,518"
473,4607,"20,118"
474,4610,"13,536"
475,4701,"23,684"
476,4801,"60,750"
477,4802,"36,938"
478,4803,"41,917"
479,4804,"48,784"
480,4805,"44,514"
481,4903,"51,723"
482,4904,"51,420"
483,4905,"50,188"
484,4906,"38,750"
485,4907,"36,631"
486,4908,"32,430"
487,4909.01,"35,469"
488,4909.02,"43,083"
489,4910,"26,641"
490,4911,"44,000"
491,4912,"39,276"
492,4913,"26,630"
493,4914,"26,443"
494,5001,"39,348"
495,5002,"33,304"
496,5003,"37,679"
497,5101,"32,277"
498,5102,"41,851"
499,5103,"34,154"
500,5201,"33,750"
501,5202,"35,240"
502,5203,"38,857"
503,5204,"50,347"
504,5205,"65,878"
505,5206,"40,400"
