,GEOID,grocery_stores_count
185,17031150800,3
186,17031151001,3
187,17031151002,3
188,17031151100,8
189,17031151200,5
190,17031160100,8
191,17031160200,8
192,17031160300,12
193,17031160400,12
194,17031160501,13
195,17031160502,9
196,17031160601,9
197,17031160602,9
198,17031160700,9
199,17031160800,9
200,17031160900,12
201,17031161000,12
202,17031161100,3
203,17031161200,3
204,17031161300,3
205,17031170100,5
206,17031170200,5
207,17031170300,5
208,17031170400,5
209,17031170500,5
210,17031170600,5
211,17031170700,5
212,17031170800,5
213,17031170900,9
214,17031171000,5
215,17031171100,5
216,17031180100,9
217,17031190100,17
218,17031190200,17
219,17031190300,22
220,17031190401,19
221,17031190402,19
222,17031190601,14
223,17031190602,14
224,17031190701,14
225,17031190702,14
226,17031190800,14
227,17031190900,14
228,17031191000,14
229,17031191100,14
230,17031191200,14
231,17031191301,14
232,17031191302,14
233,17031200100,17
234,17031200200,14
235,17031200300,14
236,17031200401,14
237,17031200402,28
238,17031210100,9
239,17031210400,17
240,17031210501,12
241,17031210502,26
242,17031210601,9
243,17031210602,23
244,17031210700,23
245,17031210800,23
246,17031210900,23
247,17031220300,14
248,17031220400,14
249,17031220500,14
250,17031220601,14
251,17031220602,14
252,17031220701,14
253,17031220702,28
254,17031220901,28
255,17031220902,28
256,17031221000,14
257,17031221100,14
258,17031221200,14
259,17031221300,14
260,17031221400,14
261,17031221500,14
262,17031221600,14
263,17031222200,14
264,17031222500,14
265,17031222600,14
266,17031222700,14
267,17031222800,14
268,17031222900,14
269,17031230100,14
270,17031230200,14
271,17031230300,14
272,17031230400,28
273,17031230500,14
274,17031230600,17
275,17031230700,17
276,17031230800,17
277,17031230900,17
278,17031231100,3
279,17031231200,3
280,17031231500,6
281,17031240200,3
282,17031240300,17
283,17031240500,14
284,17031240600,14
285,17031240700,14
286,17031240800,14
287,17031240900,6
288,17031241000,17
289,17031241100,17
290,17031241200,17
291,17031241300,17
292,17031241400,17
293,17031241500,3
294,17031241600,4
295,17031242000,4
296,17031242100,3
297,17031242200,3
298,17031242300,3
299,17031242400,3
300,17031242500,3
301,17031242600,3
302,17031242700,3
303,17031242800,4
304,17031242900,4
305,17031243000,4
306,17031243100,3
307,17031243200,3
308,17031243300,4
309,17031243400,1
310,17031243500,3
311,17031250200,14
312,17031250300,14
313,17031250400,14
314,17031250500,18
315,17031250600,17
316,17031250700,17
317,17031250800,17
318,17031251000,3
319,17031251100,3
320,17031251200,3
321,17031251300,3
322,17031251400,6
323,17031251500,6
324,17031251600,6
325,17031251700,6
326,17031251800,3
327,17031251900,3
328,17031252000,3
329,17031252101,3
330,17031252102,3
331,17031252201,3
332,17031252202,6
333,17031260100,3
334,17031260200,3
335,17031260300,3
336,17031260400,3
337,17031260500,3
338,17031260600,3
339,17031260700,3
340,17031260800,3
341,17031260900,3
342,17031261000,3
343,17031270500,3
344,17031271200,1
345,17031271300,4
346,17031271400,3
347,17031271500,3
348,17031271800,1
349,17031280100,6
350,17031280400,4
351,17031280800,1
352,17031280900,1
353,17031281900,7
354,17031282700,14
355,17031282800,14
356,17031283100,3
357,17031283200,16
358,17031283800,13
359,17031290900,10
360,17031291200,10
361,17031291600,13
362,17031292200,7
363,17031292400,7
364,17031292500,7
365,17031300500,7
366,17031300600,7
367,17031300700,7
368,17031300800,7
369,17031300900,7
370,17031301100,20
371,17031301200,13
372,17031301600,7
373,17031301701,7
374,17031301702,7
375,17031301801,7
376,17031301802,7
377,17031301803,7
378,17031310200,19
379,17031310300,13
380,17031310400,13
381,17031310500,13
382,17031310600,13
383,17031310700,13
384,17031310800,13
385,17031310900,13
386,17031320100,5
387,17031320400,4
388,17031320600,3
389,17031330100,9
390,17031330200,9
391,17031340300,6
392,17031340400,6
393,17031340500,6
394,17031340600,11
395,17031350100,6
396,17031350400,6
397,17031351000,6
398,17031351100,8
399,17031351400,13
400,17031351500,11
401,17031360200,2
402,17031380100,2
403,17031380200,2
404,17031380500,5
405,17031380700,7
406,17031381200,6
407,17031381400,11
408,17031381500,7
409,17031381700,5
410,17031381800,9
411,17031381900,4
412,17031390100,2
413,17031390200,2
414,17031390300,2
415,17031390400,6
416,17031390500,6
417,17031390600,6
418,17031390700,4
419,17031400300,13
420,17031400400,4
421,17031400500,6
422,17031400800,6
423,17031410100,4
424,17031410200,4
425,17031410500,4
426,17031410600,4
427,17031410700,4
428,17031410800,8
429,17031410900,4
430,17031411000,8
431,17031411100,8
432,17031411200,8
433,17031420100,4
434,17031420200,4
435,17031420300,4
436,17031420400,4
437,17031420500,4
438,17031420600,4
439,17031420700,4
440,17031420800,4
441,17031421200,4
442,17031430101,2
443,17031430102,2
444,17031430200,2
445,17031430300,10
446,17031430400,6
447,17031430500,6
448,17031430600,2
449,17031430700,2
450,17031430800,2
451,17031430900,2
452,17031431200,2
453,17031431301,2
454,17031431302,2
455,17031431400,2
456,17031440101,4
457,17031440102,4
458,17031440201,4
459,17031440202,4
460,17031440300,4
461,17031440600,4
462,17031440700,4
463,17031440800,4
464,17031440900,4
465,17031450300,8
466,17031460100,10
467,17031460200,8
468,17031460301,8
469,17031460302,10
470,17031460400,10
471,17031460500,10
472,17031460600,8
473,17031460700,8
474,17031461000,8
475,17031470100,4
476,17031480100,8
477,17031480200,12
478,17031480300,12
479,17031480400,8
480,17031480500,8
481,17031490300,4
482,17031490400,4
483,17031490500,7
484,17031490600,3
485,17031490700,3
486,17031490800,3
487,17031490901,3
488,17031490902,3
489,17031491000,3
490,17031491100,3
491,17031491200,3
492,17031491300,3
493,17031491400,3
494,17031500100,7
495,17031500200,3
496,17031500300,3
497,17031510100,8
498,17031510200,8
499,17031510300,12
500,17031520100,8
501,17031520200,8
502,17031520300,8
503,17031520400,8
504,17031520500,8
505,17031520600,8
506,17031530100,3
507,17031530200,3
508,17031530300,7
509,17031530400,7
510,17031530501,3
511,17031530502,3
512,17031530503,7
513,17031530600,3
514,17031540101,1
515,17031540102,4
516,17031550100,8
517,17031560100,10
518,17031560200,15
519,17031560300,5
520,17031560400,10
521,17031560700,5
522,17031560800,5
523,17031560900,5
524,17031561000,5
525,17031561100,5
526,17031570100,10
527,17031570200,10
528,17031570300,10
529,17031570400,10
530,17031570500,10
531,17031580100,23
532,17031580200,23
533,17031580300,10
534,17031580400,10
535,17031580501,10
536,17031580502,10
537,17031580600,10
538,17031580700,15
539,17031580800,10
540,17031590500,5
541,17031590600,5
542,17031590700,5
543,17031600400,19
544,17031600600,13
545,17031600700,13
546,17031600900,13
547,17031610300,5
548,17031610400,5
549,17031610800,5
550,17031611000,5
551,17031611100,5
552,17031611200,5
553,17031611300,5
554,17031611400,5
555,17031611500,5
556,17031611600,5
557,17031611700,5
558,17031611800,5
559,17031611900,5
560,17031612000,5
561,17031612100,5
562,17031620100,10
563,17031620200,10
564,17031620300,19
565,17031620400,19
566,17031630100,5
567,17031630200,15
568,17031630300,10
569,17031630400,10
570,17031630500,15
571,17031630800,19
572,17031630900,19
573,17031640100,9
574,17031640300,5
575,17031640400,5
576,17031640500,5
577,17031640600,5
578,17031640700,5
579,17031640800,14
580,17031650100,9
581,17031650200,9
582,17031650301,9
583,17031650302,9
584,17031650400,9
585,17031650500,10
586,17031660301,9
587,17031660302,9
588,17031660400,9
589,17031660500,9
590,17031660600,11
591,17031660700,2
592,17031660800,11
593,17031660900,11
594,17031661000,11
595,17031661100,9
596,17031670100,2
597,17031670200,2
598,17031670300,2
599,17031670400,2
600,17031670500,2
601,17031670600,2
602,17031670700,2
603,17031670800,2
604,17031670900,2
605,17031671100,2
606,17031671200,2
607,17031671300,2
608,17031671400,2
609,17031671500,2
610,17031671600,2
611,17031671800,2
612,17031671900,2
613,17031672000,2
614,17031680500,4
615,17031680600,4
616,17031680900,2
617,17031681000,4
618,17031681100,4
619,17031681200,2
620,17031681300,11
621,17031681400,4
622,17031690300,2
623,17031690400,8
624,17031690500,8
625,17031690900,4
626,17031691000,4
627,17031691100,2
628,17031691200,9
629,17031691300,4
630,17031691400,4
631,17031691500,4
632,17031700100,19
633,17031700200,10
634,17031700301,1
635,17031700302,1
636,17031700401,1
637,17031700402,1
638,17031700501,10
639,17031700502,10
640,17031710100,9
641,17031710200,9
642,17031710300,9
643,17031710400,9
644,17031710500,9
645,17031710600,9
646,17031710700,9
647,17031710800,9
648,17031710900,9
649,17031711000,9
650,17031711100,9
651,17031711200,9
652,17031711300,9
653,17031711400,9
654,17031711500,9
655,17031720100,13
