GEOID,perc_rental_housing_2018
17031200200,0.547008547
17031200300,0.582089552
17031200401,0.507858546
17031200402,0.478771454
17031210100,0.520084567
17031210400,0.570990807
17031210501,0.764376997
17031210502,0.646443515
17031210601,0.58579235
17031210602,0.580310881
17031210700,0.613932292
17031210800,0.619791667
17031210900,0.595983936
17031220300,0.581369248
17031220400,0.585321101
17031220500,0.602177554
17031220601,0.663768116
17031220602,0.756097561
17031220701,0.621722846
17031220702,0.666422824
17031220901,0.657520325
17031220902,0.588794926
17031221000,0.673247779
17031221100,0.691351631
17031221200,0.615823817
17031221300,0.765019011
17031221400,0.593912398
17031221500,0.671698113
17031221600,0.482661005
17031222200,0.5
17031222500,0.666034156
17031222600,0.654178674
17031222700,0.709638554
17031222800,0.745205479
17031222900,0.474320242
17031230100,0.671474359
17031230200,0.664484452
17031230300,0.699658703
17031230400,0.490254873
17031230500,0.758680556
17031230600,0.735064935
17031230700,0.555102041
17031230800,0.456582633
17031230900,0.679350867
17031231100,0.587431694
17031231200,0.710416667
17031231500,0.619469027
17031240200,0.469849246
17031240300,0.497418244
17031240500,0.296728972
17031240600,0.480392157
17031240700,0.6367713
17031240800,0.642972536
17031240900,0.778004073
17031241000,0.730555556
17031241100,0.729249012
17031241200,0.662998624
17031241300,0.520475561
17031241400,0.68262987
17031241500,0.580980684
17031241600,0.73674476
17031242000,0.763033175
17031242100,0.513815403
17031242200,0.604205318
17031242300,0.562617999
17031242400,0.726356589
17031242500,0.678032787
17031242600,0.715255591
17031242700,0.74327957
17031242800,0.355442177
17031242900,0.564943253
17031243000,0.621359223
17031243100,0.454244763
17031243200,0.569662921
17031243300,0.542190305
17031243400,0.466357309
17031243500,0.548044693
17031250200,0.407730673
17031250300,0.598563969
17031250400,0.486073184
17031250500,0.268108108
17031250600,0.293373045
17031250700,0.587643678
17031250800,0.360759494
17031251000,0.381231672
17031251100,0.655682582
17031251200,0.429809359
17031251300,0.492363636
17031251400,0.763248848
17031251500,0.758125472
17031251600,0.625818522
17031251700,0.527322404
17031251800,0.877600979
17031251900,0.778179626
17031252000,0.790738314
17031252101,0.816528926
17031252102,0.528525787
17031252201,0.666325486
17031252202,0.773359841
17031260100,0.883239171
17031260200,0.717460317
17031260300,0.839851024
17031260400,0.787634409
17031260500,0.741818182
17031260600,0.668449198
17031260700,0.753816794
17031260800,0.779931585
17031260900,0.612658228
17031261000,0.713432836
17031270500,0.910596026
17031271200,0.855297158
17031271300,0.794520548
17031271400,0.851441242
17031271500,0.659751037
17031271800,0.853211009
17031280100,0.628662109
17031280400,0.928449744
17031280800,0.787709497
17031280900,0.835978836
17031281900,0.754749079
17031282700,0.501950585
17031282800,0.669683258
17031283100,0.88650043
17031283200,0.582952816
17031283800,0.586248492
17031290900,0.734782609
17031291200,0.861003861
17031291600,0.666666667
17031292200,0.691011236
17031292400,0.684729064
17031292500,0.611391492
17031300500,0.697940503
17031300600,0.543225806
17031300700,0.676720804
17031300800,0.657298277
17031300900,0.837245696
17031301100,0.700910273
17031301200,0.737072743
17031301600,0.497297297
17031301701,0.667613636
17031301702,0.553719008
17031301801,0.623574144
17031301802,0.577367206
17031301803,0.610534125
17031310200,0.585516179
17031310300,0.706777317
17031310400,0.607279693
17031310500,0.721062619
17031310600,0.773986152
17031310700,0.743785851
17031310800,0.752786885
17031310900,0.645697329
17031320100,0.584542241
17031320400,0.379261364
17031320600,0.58854719
17031330100,0.43535643
17031330200,0.449704142
17031340300,0.525035765
17031340400,0.631039531
17031340500,0.745305164
17031340600,0.988372093
17031350100,0.99334221
17031350400,1
17031351000,0.905602117
17031351100,0.936333699
17031351400,0.852978454
17031351500,0.906752412
17031360200,0.95890411
17031380100,0.754752852
17031380200,0.8366465
17031380500,1
17031380700,0.908466819
17031381200,0.759916493
17031381400,0.784370478
17031381500,0.806818182
17031381700,#DIV/0!
17031381800,0.6829653
17031381900,0.641366224
17031390100,0.61387632
17031390200,0.376528117
17031390300,0.868073879
17031390400,0.763470959
17031390500,0.690571049
17031390600,0.525188917
17031390700,0.633283358
17031400300,0.826797386
17031400400,0.811538462
17031400500,0.849081365
17031400800,0.947648625
17031410100,0.783546326
17031410200,0.890044577
17031410500,0.724440895
17031410600,0.627689429
17031410700,0.697087379
17031410800,0.750141965
17031410900,0.591232877
17031411000,0.485915493
17031411100,0.472858866
17031411200,0.474930362
17031420100,0.98013245
17031420200,0.707920792
17031420300,0.770083102
17031420400,0.831223629
17031420500,0.811013767
17031420600,0.830653805
17031420700,0.770618557
17031420800,0.751842752
17031421200,0.69375
17031430101,0.862132353
17031430102,0.879957694
17031430200,0.856662463
17031430300,0.862513426
17031430400,0.725850966
17031430500,0.910410095
17031430600,0.642762284
17031430700,0.905263158
17031430800,0.594752187
17031430900,0.663729809
17031431200,0.359044995
17031431301,0.814046289
17031431302,0.866753756
17031431400,0.860311751
17031440101,0.949462366
17031440102,0.831136221
17031440201,0.827716933
17031440202,0.597394541
17031440300,0.422422422
17031440600,0.141700405
17031440700,0.329489292
17031440800,0.720567376
17031440900,0.559012876
17031450300,0.346686089
17031460100,0.618962433
17031460200,0.580917874
17031460301,0.576339737
17031460302,0.606457243
17031460400,0.534053156
17031460500,0.487732657
17031460600,0.658402204
17031460700,0.727470141
17031461000,0.884816754
17031470100,0.534416826
17031480100,0.21218716
17031480200,0.447058824
17031480300,0.485875706
17031480400,0.154478976
17031480500,0.360909091
17031490300,0.318594104
