,census_tract,EDU_2019
870,8070,34.1
871,8071,19.2
872,8072,29.7
873,8073,31.9
874,8074,29.2
875,8075,30.4
876,8076,37.3
877,8077,25.9
878,8078,25
879,8079,27.4
880,8080.01,29.4
881,8080.02,21.6
882,8081,14.1
883,8082,36.5
884,8083.01,35.3
885,8083.02,38.3
886,8084,28
887,8085,26.1
888,8086,16.9
889,8087.02,97.8
890,8088,46
891,8089,9.7
892,8090,11.8
893,8091,6.5
894,8092,28.9
895,8093,82.6
896,8094,84.4
897,8095,68.8
898,8096,23.8
899,8097,15.9
900,8098,31.2
901,8099,19.4
902,8100,42.3
903,8101,32.1
904,8102,35.4
905,8103.01,23
906,8103.02,16.1
907,8104,23.2
908,8105.01,31.5
909,8105.02,32.1
910,8106,32
911,8107.01,24.3
912,8107.02,19.1
913,8108,46.6
914,8109,22.9
915,8110,28.2
916,8111,29.5
917,8112,19.9
918,8113.01,13.4
919,8113.02,9.9
920,8114.01,27.8
921,8114.02,35.7
922,8115,29.1
923,8116,23.8
924,8117.01,19.6
925,8117.02,18.3
926,8118,19
927,8119,49.4
928,8120,20.8
929,8121,19.5
930,8122,12.4
931,8123.01,47.3
932,8123.02,19.8
933,8124,13.7
934,8125,25.5
935,8126,30.1
936,8127,26.8
937,8128.01,30.1
938,8128.02,38.6
939,8129,22.4
940,8130,24.6
941,8131,26.4
942,8132,21
943,8133.01,9.6
944,8133.02,22.8
945,8134,15.6
946,8135,23.8
947,8136,29.9
948,8137.01,4.8
949,8137.02,17
950,8138.01,25.6
951,8138.02,19.1
952,8139,22.4
953,8140,26.3
954,8141,27
955,8142,27.7
956,8143,21.3
957,8144,28.7
958,8145,26.2
959,8146,23.8
960,8147,20.3
961,8148,30.9
962,8149,23.2
963,8150,27
964,8151,27.7
965,8152,17.3
966,8153,24.5
967,8154,14.8
968,8155,24.6
969,8156,15.2
970,8157.01,20.3
971,8157.02,21
972,8158,13.7
973,8159,62.4
974,8160,55
975,8161,38.6
976,8162,24.9
977,8163,18.4
978,8164.01,15.1
979,8164.02,8.1
980,8165,13.9
981,8166,14.6
982,8167,18
983,8168,30.7
984,8169,20.2
985,8170,15.3
986,8171.01,29
987,8171.02,36.2
988,8172,26.5
989,8173,34.9
990,8174,29.9
991,8175,33
992,8176,29.1
993,8177,39.1
994,8179,34.7
995,8180,26.5
996,8181,14.2
997,8182,24
998,8183,27.4
999,8184.01,19.9
1000,8184.02,29.6
1001,8185,29.7
1002,8186,20.4
1003,8187,25.5
1004,8188,15.8
1005,8189,14.8
1006,8190,14.8
1007,8191,25.1
1008,8192,29.6
1009,8193,25.3
1010,8194,20.9
1011,8195,14.5
1012,8196,10.3
1013,8197,12.1
1014,8198.01,11
1015,8198.02,15.5
1016,8199,8.4
1017,8200,11.8
1018,8201.01,16.7
1019,8201.03,27.7
1020,8201.04,32
1021,8202.01,17.9
1022,8202.02,18.8
1023,8203,21
1024,8204,21.5
1025,8205.01,35
1026,8205.02,28.7
1027,8206.03,20
1028,8206.04,23.4
1029,8206.05,30.7
1030,8206.06,20.6
1031,8207,14.8
1032,8208,18.7
1033,8209.01,16.6
1034,8209.02,30.2
1035,8210.01,30.1
1036,8210.02,29.4
1037,8211.01,25.1
1038,8211.02,23.4
1039,8212,18.2
1040,8213,22.2
1041,8214.01,28.1
1042,8214.02,3.6
1043,8215,22.2
1044,8216,23.1
1045,8217,23.4
1046,8218,35.8
1047,8219,23.4
1048,8220,23.9
1049,8221.01,17.8
1050,8221.02,31.9
1051,8222,27.1
1052,8223.01,50.8
1053,8223.02,28.6
1054,8224,29.5
1055,8225,25.4
1056,8226.01,25.9
1057,8226.02,34
1058,8227.01,33.4
1059,8227.02,33.9
1060,8228.01,23.8
1061,8228.02,23.2
1062,8229,32.9
1063,8230.01,28.3
1064,8230.02,28.3
1065,8231.01,26.7
1066,8231.02,34.8
1067,8232,24.6
1068,8233.02,20.2
1069,8233.03,30
1070,8233.04,22
1071,8234,37.1
1072,8235,26.3
1073,8236.02,39.7
1074,8236.03,13.9
1075,8236.04,19.6
1076,8236.05,41.3
1077,8237.02,34.6
1078,8237.03,20.7
1079,8237.04,23.5
1080,8237.05,18.2
1081,8238.01,22.2
1082,8238.03,35.9
1083,8238.05,48.9
1084,8238.06,39.8
1085,8239.01,7
1086,8239.03,22.3
1087,8239.04,26.6
1088,8240.03,16.8
1089,8240.04,22.2
1090,8240.05,28.1
1091,8240.06,21.5
1092,8241.05,19.6
1093,8241.06,21
1094,8241.07,23.8
1095,8241.08,24.3
1096,8241.13,18.1
1097,8241.14,19.7
1098,8241.15,31.9
1099,8241.16,19.9
1100,8241.17,22.5
1101,8241.19,37.9
1102,8241.2,22.1
1103,8241.21,27.8
1104,8241.22,30.1
1105,8241.23,27.1
