,census_tract,median_household_income_in_past_12_months
417,3906,"51,849"
418,3907,"61,193"
419,4003,"29,495"
420,4004,"36,591"
421,4005,"22,355"
422,4008,"18,954"
423,4101,"48,194"
424,4102,"41,692"
425,4105,"54,079"
426,4106,"41,016"
427,4107,"39,514"
428,4108,"38,412"
429,4109,"60,353"
430,4110,"67,346"
431,4111,"114,583"
432,4112,"88,571"
433,4201,"18,411"
434,4202,"29,205"
435,4203,"36,719"
436,4204,"13,676"
437,4205,"28,456"
438,4206,"20,871"
439,4207,"19,498"
440,4208,"39,167"
441,4212,"19,911"
442,4301.01,"32,122"
443,4301.02,"30,306"
444,4302,"22,933"
445,4303,"18,133"
446,4304,"33,767"
447,4305,"18,692"
448,4306,"36,103"
449,4307,"24,167"
450,4308,"48,015"
451,4309,"40,417"
452,4312,"55,560"
453,4313.01,"27,361"
454,4313.02,"29,966"
455,4314,"30,230"
456,4401.01,"20,404"
457,4401.02,"32,047"
458,4402.01,"28,849"
459,4402.02,"35,795"
460,4403,"54,167"
461,4406,"68,317"
462,4407,"40,000"
463,4408,"24,417"
464,4409,"30,417"
465,4503,"49,896"
466,4601,"41,188"
467,4602,"28,363"
468,4603.01,"34,483"
469,4603.02,"28,470"
470,4604,"44,545"
471,4605,"59,755"
472,4606,"40,110"
473,4607,"24,517"
474,4610,"15,956"
475,4701,"28,864"
476,4801,"60,000"
477,4802,"47,059"
478,4803,"37,386"
479,4804,"53,946"
480,4805,"32,188"
481,4903,"57,301"
482,4904,"56,607"
483,4905,"53,190"
484,4906,"37,176"
485,4907,"44,745"
486,4908,"40,186"
487,4909.01,"37,045"
488,4909.02,"44,932"
489,4910,"24,481"
490,4911,"42,763"
491,4912,"39,234"
492,4913,"35,250"
493,4914,"33,290"
494,5001,"46,476"
495,5002,"31,410"
496,5003,"42,543"
497,5101,"43,882"
498,5102,"48,864"
499,5103,"28,561"
500,5201,"58,036"
501,5202,"29,630"
502,5203,"41,652"
503,5204,"45,729"
504,5205,"63,819"
505,5206,"55,325"
506,5301,"37,200"
507,5302,"37,829"
508,5303,"41,076"
509,5304,"61,903"
510,5305.01,"43,143"
511,5305.02,"54,883"
512,5305.03,"44,056"
513,5306,"33,099"
514,5401.01,"15,523"
515,5401.02,"15,293"
516,5501,"59,313"
517,5502,"48,224"
518,5601,"61,905"
519,5602,"54,453"
520,5603,"50,781"
521,5604,"60,581"
522,5607,"60,764"
523,5608,"71,563"
524,5609,"96,332"
525,5610,"103,188"
526,5611,"91,604"
527,5701,"56,008"
528,5702,"58,625"
529,5703,"48,629"
530,5704,"42,332"
531,5705,"44,934"
532,5801,"43,750"
533,5802,"38,018"
534,5803,"48,110"
535,5804,"47,056"
536,5805.01,"39,520"
537,5805.02,"37,943"
538,5806,"45,684"
539,5807,"47,000"
540,5808,"46,000"
541,5905,"67,250"
542,5906,"46,033"
543,5907,"48,281"
544,6004,"37,786"
545,6006,"37,670"
546,6007,"45,294"
547,6009,"57,788"
548,6103,"32,679"
549,6104,"40,758"
550,6108,"53,125"
551,6110,"19,975"
552,6111,"28,264"
553,6112,"27,800"
554,6113,"26,600"
555,6114,"36,382"
556,6115,"34,875"
557,6116,"25,882"
558,6117,"24,444"
559,6118,"40,870"
560,6119,"24,507"
561,6120,"37,981"
562,6121,"26,815"
563,6201,"65,354"
564,6202,"58,382"
565,6203,"55,779"
566,6204,"69,764"
567,6301,"30,435"
568,6302,"37,422"
569,6303,"51,184"
570,6304,"35,194"
571,6305,"44,885"
572,6308,"51,419"
573,6309,"45,551"
574,6401,"42,895"
575,6403,"64,590"
576,6404,"59,398"
577,6405,"85,762"
578,6406,"49,375"
579,6407,"56,250"
580,6408,"51,944"
581,6501,"43,750"
582,6502,"51,658"
583,6503.01,"60,802"
584,6503.02,"49,130"
585,6504,"54,327"
586,6505,"68,382"
587,6603.01,"24,230"
588,6603.02,"30,891"
589,6604,"46,289"
590,6605,"36,657"
591,6606,"27,012"
592,6607,"23,095"
593,6608,"35,703"
594,6609,"34,574"
595,6610,"34,230"
596,6611,"59,038"
597,6701,"27,500"
598,6702,"28,250"
599,6703,"22,395"
600,6704,"28,625"
601,6705,"24,200"
602,6706,"26,250"
603,6707,"27,277"
604,6708,"24,597"
605,6709,"33,438"
606,6711,"33,571"
607,6712,"24,896"
608,6713,"27,882"
609,6714,"23,029"
610,6715,"27,125"
611,6716,"19,132"
612,6718,"28,036"
613,6719,"47,400"
614,6720,"36,438"
615,6805,"24,335"
616,6806,"30,244"
617,6809,"16,411"
618,6810,"17,118"
619,6811,"22,266"
620,6812,"19,915"
621,6813,"25,360"
622,6814,"43,750"
623,6903,"19,179"
624,6904,"23,868"
625,6905,"26,154"
626,6909,"32,875"
627,6910,"42,538"
628,6911,"24,750"
629,6912,"32,241"
630,6913,"43,676"
631,6914,"36,363"
632,6915,"17,011"
633,7001,"68,902"
634,7002,"70,863"
635,7003.01,"69,620"
636,7003.02,"66,250"
637,7004.01,"65,000"
638,7004.02,"70,072"
639,7005.01,"65,847"
640,7005.02,"102,125"
641,7101,"17,841"
642,7102,"25,288"
643,7103,"35,568"
644,7104,"39,659"
645,7105,"30,177"
646,7106,"33,287"
647,7107,"19,467"
648,7108,"23,162"
649,7109,"32,064"
650,7110,"43,855"
651,7111,"39,208"
652,7112,"45,298"
653,7113,"41,188"
654,7114,"43,500"
655,7115,"44,851"
656,7201,"149,605"
657,7202,"71,979"
658,7203,"115,536"
659,7204,"102,857"
660,7205,"111,667"
661,7206,"113,964"
662,7207,"67,438"
663,7301,"53,125"
664,7302.01,"26,731"
665,7302.02,"57,143"
