,census_tract,MHI_2017
102,632,"64,322"
103,633.01,"48,906"
104,633.02,"74,805"
105,633.03,"78,580"
106,634,"95,488"
107,701.01,"69,222"
108,701.02,"67,000"
109,701.03,"57,963"
110,702,"84,668"
111,703,"120,139"
112,704,"90,125"
113,705,"120,885"
114,706,"151,250"
115,707,"122,571"
116,710,"121,840"
117,711,"116,483"
118,712,"104,115"
119,713,"103,571"
120,714,"71,701"
121,715,"89,167"
122,716,"120,240"
123,717,"137,500"
124,718,"149,028"
125,801,"118,500"
126,802.01,"79,869"
127,802.02,"81,794"
128,803,"117,687"
129,804,"30,625"
130,810,"51,905"
131,811,"72,303"
132,812.01,"88,088"
133,812.02,"113,798"
134,813,"85,938"
135,814.01,"62,321"
136,814.02,"109,801"
137,814.03,"102,856"
138,815,"103,750"
139,816,"103,060"
140,817,"95,545"
141,818,"116,705"
142,819,"139,063"
143,901,"94,375"
144,902,"100,808"
145,903,"89,205"
146,1001,"66,265"
147,1002,"70,549"
148,1003,"73,558"
149,1004,"83,594"
150,1005,"82,865"
151,1006,"64,151"
152,1007,"77,324"
153,1101,"74,440"
154,1102,"80,240"
155,1103,"74,537"
156,1104,"70,344"
157,1105.01,"80,098"
158,1105.02,"55,194"
159,1201,"124,338"
160,1202,"108,954"
161,1203,"121,793"
162,1204,"82,167"
163,1301,"40,503"
164,1302,"77,800"
165,1303,"58,214"
166,1401,"39,961"
167,1402,"42,694"
168,1403.01,"40,192"
169,1403.02,"72,577"
170,1404,"73,906"
171,1405,"56,278"
172,1406.01,"45,769"
173,1406.02,"60,508"
174,1407.01,"60,100"
175,1407.02,"51,324"
176,1408,"69,545"
177,1502,"64,545"
178,1503,"74,106"
179,1504.01,"70,203"
180,1504.02,"64,545"
181,1505.01,"65,893"
182,1505.02,"57,857"
183,1506,"65,543"
184,1507,"69,265"
185,1508,"54,414"
186,1510.01,"49,674"
187,1510.02,"48,225"
188,1511,"58,269"
189,1512,"54,671"
190,1601,"65,161"
191,1602,"74,219"
192,1603,"51,511"
193,1604,"49,216"
194,1605.01,"56,477"
195,1605.02,"58,776"
196,1606.01,"67,113"
197,1606.02,"59,821"
198,1607,"65,281"
199,1608,"57,261"
200,1609,"80,551"
201,1610,"73,342"
202,1611,"101,848"
203,1612,"61,466"
204,1613,"45,616"
205,1701,"39,643"
206,1702,"71,660"
207,1703,"59,554"
208,1704,"56,645"
209,1705,"78,650"
210,1706,"71,875"
211,1707,"74,414"
212,1708,"67,391"
213,1709,"49,508"
214,1710,"67,308"
215,1711,"65,952"
216,1801,"59,286"
217,1901,"35,565"
218,1902,"55,842"
219,1903,"46,010"
220,1904.01,"56,016"
221,1904.02,"46,993"
222,1906.01,"50,781"
223,1906.02,"51,986"
224,1907.01,"44,797"
225,1907.02,"40,761"
226,1908,"42,279"
227,1909,"39,706"
228,1910,"48,125"
229,1911,"47,750"
230,1912,"44,167"
231,1913.01,"42,910"
232,1913.02,"43,403"
233,2001,"44,419"
234,2002,"37,346"
235,2003,"40,385"
236,2004.01,"38,309"
237,2004.02,"42,135"
238,2101,"56,705"
239,2104,"42,364"
240,2105.01,"42,990"
241,2105.02,"44,750"
242,2106.01,"61,141"
243,2106.02,"54,700"
244,2107,"51,758"
245,2108,"59,615"
246,2109,"54,688"
247,2203,"85,288"
248,2204,"88,043"
249,2205,"80,433"
250,2206.01,"58,558"
251,2206.02,"44,091"
252,2207.01,"67,415"
253,2207.02,"61,186"
254,2209.01,"41,047"
255,2209.02,"46,574"
256,2210,"38,250"
257,2211,"53,846"
258,2212,"82,941"
259,2213,"62,679"
260,2214,"70,313"
261,2215,"58,268"
262,2216,"107,841"
263,2222,"130,990"
264,2225,"58,000"
265,2226,"65,341"
266,2227,"62,100"
267,2228,"40,435"
268,2229,"43,750"
269,2301,"51,875"
270,2302,"44,129"
271,2303,"41,033"
272,2304,"56,250"
273,2305,"31,473"
274,2306,"34,716"
275,2307,"39,298"
276,2308,"68,250"
277,2309,"38,611"
278,2311,"33,750"
279,2312,"29,120"
280,2315,"28,013"
281,2402,"124,545"
282,2403,"116,042"
283,2405,"151,369"
284,2406,"103,333"
285,2407,"57,321"
286,2408,"44,444"
287,2409,"39,219"
288,2410,"59,327"
289,2411,"79,803"
290,2412,"104,750"
291,2413,"117,396"
292,2414,"101,480"
293,2415,"123,304"
294,2416,"91,983"
295,2420,"64,559"
296,2421,"125,217"
297,2422,"92,083"
298,2423,"86,976"
299,2424,"77,311"
300,2425,"64,167"
301,2426,"56,314"
302,2427,"31,375"
303,2428,"80,679"
304,2429,"67,500"
305,2430,"73,320"
306,2431,"101,458"
307,2432,"108,750"
308,2433,"76,339"
309,2434,"87,708"
310,2435,"101,375"
311,2502,"45,859"
312,2503,"31,551"
313,2504,"34,564"
314,2505,"74,347"
315,2506,"45,469"
316,2507,"31,370"
317,2508,"38,462"
318,2510,"37,000"
319,2511,"21,274"
320,2512,"44,428"
321,2513,"29,255"
322,2514,"29,518"
323,2515,"21,567"
324,2516,"33,189"
325,2517,"31,250"
326,2518,"23,295"
327,2519,"20,092"
328,2520,"21,879"
329,2521.01,"21,339"
330,2521.02,"39,243"
331,2522.01,"33,295"
332,2522.02,"26,826"
333,2601,"15,778"
334,2602,"33,750"
335,2603,"30,234"
336,2604,"18,218"
337,2605,"29,545"
338,2606,"20,882"
339,2607,"23,367"
340,2608,"22,083"
341,2609,"22,000"
342,2610,"24,688"
343,2705,"16,103"
344,2712,"26,098"
345,2713,"24,878"
346,2714,"24,271"
347,2715,"30,729"
348,2718,"16,477"
349,2801,"129,148"
350,2804,"35,275"
351,2808,"21,250"
352,2809,"19,485"
353,2819,"88,708"
354,2827,"67,467"
355,2828,"53,438"
356,2831,"42,917"
357,2832,"78,750"
358,2838,"62,548"
359,2909,"24,071"
360,2912,"24,650"
361,2916,"48,180"
362,2922,"31,902"
363,2924,"29,018"
364,2925,"40,324"
365,3005,"38,047"
366,3006,"41,286"
367,3007,"34,153"
368,3008,"29,844"
369,3009,"27,859"
370,3011,"28,135"
371,3012,"26,076"
372,3016,"32,375"
373,3017.01,"31,775"
374,3017.02,"40,417"
375,3018.01,"35,784"
376,3018.02,"32,500"
377,3018.03,"35,960"
378,3102,"57,273"
379,3103,"48,542"
380,3104,"52,379"
381,3105,"45,781"
382,3106,"31,991"
383,3107,"43,173"
384,3108,"48,243"
385,3109,"36,913"
386,3201,"116,587"
387,3204,"160,833"
388,3206,"101,311"
389,3301,"97,897"
390,3302,"78,925"
391,3403,"32,321"
392,3404,"34,712"
393,3405,"25,242"
394,3406,"11,622"
395,3501,"43,548"
396,3504,"10,980"
397,3510,"46,850"
398,3511,"10,825"
399,3514,"13,149"
400,3515,"23,700"
401,3602,"23,594"
402,3801,"19,328"
403,3802,"20,536"
404,3805,"19,358"
405,3807,"35,833"
406,3812,"38,370"
407,3814,"38,167"
408,3815,-
409,3817,-
410,3818,"36,375"
411,3819,"39,400"
412,3901,"74,318"
413,3902,"75,375"
414,3903,"21,769"
415,3904,"24,848"
416,3905,"44,231"
417,3906,"82,159"
418,3907,"53,015"
419,4003,"29,417"
420,4004,"32,310"
421,4005,"24,907"
422,4008,"20,959"
423,4101,"43,723"
424,4102,"40,029"
425,4105,"47,614"
426,4106,"33,712"
427,4107,"38,516"
428,4108,"40,469"
429,4109,"52,788"
430,4110,"71,268"
431,4111,"108,750"
432,4112,"84,333"
433,4201,"19,855"
434,4202,"32,303"
435,4203,"31,849"
436,4204,"14,389"
437,4205,"25,781"
438,4206,"19,801"
439,4207,"19,042"
440,4208,"35,476"
441,4212,"21,792"
442,4301.01,"32,292"
443,4301.02,"22,725"
444,4302,"22,419"
445,4303,"15,902"
446,4304,"15,469"
447,4305,"19,129"
448,4306,"23,300"
449,4307,"19,093"
450,4308,"41,875"
451,4309,"34,286"
452,4312,"43,871"
453,4313.01,"20,625"
454,4313.02,"19,756"
455,4314,"21,781"
456,4401.01,"21,623"
457,4401.02,"25,116"
458,4402.01,"32,143"
459,4402.02,"35,242"
460,4403,"55,259"
461,4406,"59,924"
462,4407,"37,500"
463,4408,"19,833"
464,4409,"34,050"
465,4503,"45,156"
466,4601,"31,094"
467,4602,"27,925"
468,4603.01,"36,182"
469,4603.02,"23,345"
470,4604,"39,151"
471,4605,"37,168"
472,4606,"36,161"
473,4607,"21,306"
474,4610,"14,385"
475,4701,"24,821"
476,4801,"64,191"
477,4802,"37,381"
478,4803,"31,953"
479,4804,"51,520"
480,4805,"39,329"
481,4903,"52,500"
482,4904,"49,881"
483,4905,"52,464"
484,4906,"37,127"
485,4907,"37,245"
486,4908,"34,723"
487,4909.01,"39,750"
488,4909.02,"42,481"
489,4910,"28,472"
490,4911,"43,382"
491,4912,"42,400"
492,4913,"25,912"
493,4914,"28,774"
494,5001,"41,570"
495,5002,"34,038"
496,5003,"41,587"
497,5101,"42,632"
498,5102,"43,289"
499,5103,"30,625"
500,5201,"35,365"
501,5202,"36,228"
502,5203,"41,465"
503,5204,"42,227"
504,5205,"62,203"
505,5206,"42,764"
506,5301,"34,667"
507,5302,"29,539"
508,5303,"39,816"
509,5304,"48,036"
510,5305.01,"42,422"
511,5305.02,"41,696"
512,5305.03,"35,074"
513,5306,"32,674"
514,5401.01,"12,660"
515,5401.02,"14,439"
516,5501,"56,445"
517,5502,"52,841"
518,5601,"60,781"
519,5602,"48,333"
520,5603,"52,313"
521,5604,"52,969"
522,5607,"54,440"
523,5608,"66,643"
524,5609,"84,652"
525,5610,"84,863"
526,5611,"81,763"
527,5701,"54,792"
528,5702,"49,107"
529,5703,"47,500"
530,5704,"42,986"
531,5705,"41,875"
532,5801,"39,688"
533,5802,"45,179"
534,5803,"45,853"
535,5804,"37,462"
536,5805.01,"39,087"
537,5805.02,"40,191"
538,5806,"42,360"
539,5807,"43,553"
540,5808,"40,238"
541,5905,"55,667"
542,5906,"39,005"
543,5907,"42,792"
544,6004,"32,500"
545,6006,"34,069"
546,6007,"32,301"
547,6009,"51,607"
548,6103,"35,325"
549,6104,"26,580"
550,6108,"44,353"
551,6110,"20,813"
552,6111,"24,972"
553,6112,"27,697"
554,6113,"26,786"
555,6114,"35,016"
556,6115,"28,333"
557,6116,"36,014"
558,6117,"25,074"
559,6118,"31,138"
560,6119,"25,231"
561,6120,"27,212"
562,6121,"23,438"
563,6201,"51,296"
564,6202,"53,214"
565,6203,"54,299"
566,6204,"52,000"
567,6301,"31,016"
568,6302,"35,625"
569,6303,"50,051"
570,6304,"34,486"
571,6305,"44,063"
572,6308,"42,855"
573,6309,"45,880"
574,6401,"57,045"
575,6403,"69,600"
576,6404,"78,730"
577,6405,"80,125"
578,6406,"42,274"
579,6407,"49,938"
580,6408,"54,722"
581,6501,"41,250"
582,6502,"48,851"
583,6503.01,"57,245"
584,6503.02,"47,477"
585,6504,"49,135"
586,6505,"60,459"
587,6603.01,"22,057"
588,6603.02,"31,994"
589,6604,"45,550"
590,6605,"40,000"
591,6606,"27,426"
592,6607,"27,344"
593,6608,"37,690"
594,6609,"29,125"
595,6610,"32,374"
596,6611,"46,050"
597,6701,"35,000"
598,6702,"22,625"
599,6703,"21,230"
600,6704,"26,289"
601,6705,"26,087"
602,6706,"14,848"
603,6707,"36,058"
604,6708,"22,083"
605,6709,"35,592"
606,6711,"30,577"
607,6712,"20,909"
608,6713,"31,429"
609,6714,"24,306"
610,6715,"28,403"
611,6716,"23,203"
612,6718,"35,962"
613,6719,"48,095"
614,6720,"39,191"
615,6805,"23,354"
616,6806,"24,464"
617,6809,"15,612"
618,6810,"15,201"
619,6811,"15,806"
620,6812,"23,302"
621,6813,"25,735"
622,6814,"30,357"
623,6903,"19,904"
624,6904,"22,078"
625,6905,"31,923"
626,6909,"30,071"
627,6910,"49,297"
628,6911,"19,125"
629,6912,"29,405"
630,6913,"40,658"
631,6914,"28,813"
632,6915,"20,027"
633,7001,"61,925"
634,7002,"56,779"
635,7003.01,"64,118"
636,7003.02,"67,776"
637,7004.01,"64,776"
638,7004.02,"61,369"
639,7005.01,"66,619"
640,7005.02,"80,625"
641,7101,"15,524"
642,7102,"26,934"
643,7103,"33,281"
644,7104,"35,581"
645,7105,"30,793"
646,7106,"26,696"
647,7107,"23,026"
648,7108,"27,367"
649,7109,"23,929"
650,7110,"33,664"
651,7111,"37,377"
652,7112,"42,667"
653,7113,"36,307"
654,7114,"37,434"
655,7115,"39,188"
656,7201,"133,636"
657,7202,"63,295"
658,7203,"125,625"
659,7204,"95,481"
660,7205,"115,417"
661,7206,"109,390"
662,7207,"61,438"
663,7301,"50,385"
664,7302.01,"26,706"
665,7302.02,"48,564"
666,7303,"43,897"
667,7304,"60,481"
668,7305,"57,820"
669,7306,"41,307"
670,7307,"49,688"
671,7401,"89,984"
672,7402,"97,450"
673,7403,"110,268"
674,7404,"82,128"
675,7501,"38,859"
676,7502,"66,326"
677,7503,"85,888"
678,7504,"93,188"
679,7505,"55,485"
680,7506,"34,470"
681,7608.01,"55,500"
682,7608.02,"51,595"
683,7608.03,"41,545"
684,7702.01,"58,062"
685,7702.02,"55,156"
686,7703,"73,750"
687,7704,"63,900"
688,7705,"42,383"
689,7706.01,"65,579"
690,7706.02,"59,274"
691,7707,"58,095"
692,7708,"60,017"
693,7709.01,"65,275"
694,7709.02,"58,718"
695,8001,"250,000+"
696,8002,"187,279"
697,8003,"186,136"
698,8004,"250,000+"
699,8005,"205,000"
700,8006,"210,000"
701,8007,"184,459"
702,8008,"88,534"
703,8009,"119,213"
704,8010,"106,193"
705,8011,"158,776"
706,8012,"179,345"
707,8013,"161,625"
708,8014,"138,798"
709,8015,"104,022"
710,8016.01,"105,482"
711,8016.03,"46,910"
712,8016.05,"135,744"
713,8016.06,"109,185"
714,8016.07,"83,177"
715,8016.08,"108,908"
716,8017.01,"160,391"
717,8017.02,"107,875"
718,8018,"128,487"
719,8019.01,"85,128"
720,8019.02,"145,556"
721,8020.02,"106,343"
722,8020.03,"97,688"
723,8020.04,"45,669"
724,8021,"148,594"
725,8022,"99,821"
726,8023,"104,784"
727,8024.02,"61,655"
728,8024.03,"67,727"
729,8024.04,"55,318"
730,8025.03,"76,110"
731,8025.04,"79,185"
732,8025.05,"52,102"
733,8025.06,"62,500"
734,8026.05,"83,750"
735,8026.07,"110,000"
736,8026.08,"56,906"
737,8026.09,"52,920"
738,8026.10,"83,750"
739,8027.01,"83,750"
740,8027.02,"77,669"
741,8028.01,"92,760"
742,8028.02,"90,660"
743,8029,"125,042"
744,8030.05,"75,156"
745,8030.07,"103,400"
746,8030.08,"102,063"
747,8030.10,"106,667"
748,8030.12,"74,375"
749,8030.13,"81,500"
750,8030.14,"60,708"
751,8030.15,"75,825"
752,8030.16,"96,106"
753,8030.17,"84,760"
754,8031,"115,395"
755,8032,"75,284"
756,8033,"91,620"
757,8034,"117,235"
758,8035,"102,188"
759,8036.03,"145,069"
760,8036.04,"70,625"
761,8036.05,"96,917"
762,8036.06,"55,481"
763,8036.07,"105,568"
764,8036.08,"67,899"
765,8036.10,"72,703"
766,8036.11,"53,583"
767,8036.12,"53,210"
768,8037.01,"90,938"
769,8037.02,"90,972"
770,8038,"83,500"
771,8039.01,"65,442"
772,8039.02,"86,036"
773,8040,"62,746"
774,8041.02,"132,650"
775,8041.04,"112,882"
776,8041.05,"128,594"
777,8041.06,"107,177"
778,8041.08,"83,636"
779,8041.09,"88,289"
780,8042.01,"145,938"
781,8042.02,"113,156"
782,8043.05,"77,781"
783,8043.06,"63,314"
784,8043.08,"69,627"
785,8043.09,"86,328"
786,8043.10,"100,000"
787,8043.11,"97,305"
788,8044.03,"78,799"
789,8044.04,"65,688"
790,8044.05,"54,960"
791,8044.06,"58,939"
792,8045.05,"67,552"
793,8045.06,"82,969"
794,8045.07,"94,543"
795,8045.08,"62,986"
796,8045.09,"82,804"
797,8045.10,"58,594"
798,8045.11,"54,412"
799,8046.03,"60,147"
800,8046.06,"100,192"
801,8046.07,"99,559"
802,8046.08,"86,298"
803,8046.09,"96,164"
804,8046.10,"74,301"
805,8046.11,"78,514"
806,8047.01,"55,524"
807,8047.05,"60,134"
808,8047.06,"122,930"
809,8047.09,"57,128"
810,8047.10,"74,615"
811,8047.11,"69,082"
812,8047.12,"92,917"
813,8047.13,"89,884"
814,8047.14,"77,829"
815,8047.15,"54,922"
816,8047.16,"90,625"
817,8048.03,"73,942"
818,8048.04,"72,142"
819,8048.05,"83,167"
820,8048.06,"59,091"
821,8048.07,"76,803"
822,8048.08,"98,810"
823,8048.09,"96,719"
824,8048.10,"71,667"
825,8049.01,"87,536"
826,8049.02,"82,292"
827,8050.01,"99,327"
828,8050.02,"50,409"
829,8051.05,"54,409"
830,8051.06,"73,300"
831,8051.07,"50,713"
832,8051.08,"55,084"
833,8051.09,"81,029"
834,8051.10,"71,471"
835,8051.11,"57,500"
836,8051.12,"56,222"
837,8052.01,"108,295"
838,8052.02,"84,541"
839,8053.01,"69,271"
840,8053.02,"84,500"
841,8054.01,"79,142"
842,8054.02,"64,492"
843,8055.01,"88,011"
844,8055.02,"129,083"
845,8056,"119,706"
846,8057.01,"99,563"
847,8057.02,"106,750"
848,8058.01,"92,656"
849,8058.02,"86,071"
850,8059.01,"82,796"
851,8059.02,"102,770"
852,8060.01,"49,304"
853,8060.02,"56,213"
854,8060.03,"62,696"
855,8060.04,"45,833"
856,8061.02,"81,154"
857,8061.03,"84,136"
858,8061.04,"42,891"
859,8062.01,"50,862"
860,8062.02,"49,276"
861,8063,"80,230"
862,8064,"64,792"
863,8065.01,"49,848"
864,8065.02,"66,719"
865,8066,"80,815"
866,8067,"104,722"
867,8068.01,"58,167"
868,8068.02,"70,521"
869,8069,"64,073"
870,8070,"53,556"
871,8071,"125,156"
872,8072,"85,250"
873,8073,"63,950"
874,8074,"51,858"
875,8075,"107,500"
876,8076,"65,308"
877,8077,"47,353"
878,8078,"95,461"
879,8079,"94,961"
880,8080.01,"102,788"
881,8080.02,"80,875"
882,8081,"48,200"
883,8082,"71,875"
884,8083.01,"70,931"
885,8083.02,"74,167"
886,8084,"82,619"
887,8085,"89,665"
888,8086,"147,396"
889,8087.02,"66,786"
890,8088,"128,875"
891,8089,"137,188"
892,8090,"136,354"
893,8091,"105,052"
894,8092,"48,575"
895,8093,"30,048"
896,8094,"49,977"
897,8095,"62,188"
898,8096,"87,889"
899,8097,"74,395"
900,8098,"80,000"
901,8099,"118,808"
902,8100,"82,833"
903,8101,"65,557"
904,8102,"58,404"
905,8103.01,"76,573"
906,8103.02,"77,188"
907,8104,"102,753"
908,8105.01,"74,837"
909,8105.02,"52,200"
910,8106,"51,160"
911,8107.01,"39,519"
912,8107.02,"49,167"
913,8108,"71,347"
914,8109,"49,375"
915,8110,"81,563"
916,8111,"39,893"
917,8112,"57,337"
918,8113.01,"63,438"
919,8113.02,"32,648"
920,8114.01,"54,357"
921,8114.02,"60,691"
922,8115,"71,359"
923,8116,"52,854"
924,8117.01,"50,693"
925,8117.02,"52,730"
926,8118,"74,167"
927,8119,"118,500"
928,8120,"101,806"
929,8121,"115,667"
930,8122,"207,396"
931,8123.01,"73,082"
932,8123.02,"135,112"
933,8124,"182,969"
934,8125,"53,750"
935,8126,"56,369"
936,8127,"57,181"
937,8128.01,"63,269"
938,8128.02,"61,908"
939,8129,"104,926"
940,8130,"102,344"
941,8131,"88,111"
942,8132,"117,083"
943,8133.01,"36,329"
944,8133.02,"45,972"
945,8134,"46,962"
946,8135,"51,967"
947,8136,"50,462"
948,8137.01,"40,822"
949,8137.02,"35,577"
950,8138.01,"47,163"
951,8138.02,"41,331"
952,8139,"40,869"
953,8140,"46,345"
954,8141,"40,082"
955,8142,"37,432"
956,8143,"37,072"
957,8144,"44,888"
958,8145,"63,570"
959,8146,"61,078"
960,8147,"75,329"
961,8148,"63,938"
962,8149,"50,694"
963,8150,"49,056"
964,8151,"62,000"
965,8152,"58,529"
966,8153,"65,855"
967,8154,"60,625"
968,8155,"61,394"
969,8156,"60,637"
970,8157.01,"104,174"
971,8157.02,"82,107"
972,8158,"85,673"
973,8159,"47,750"
974,8160,"65,859"
975,8161,"54,911"
976,8162,"58,000"
977,8163,"61,717"
978,8164.01,"48,232"
979,8164.02,"45,747"
980,8165,"36,667"
981,8166,"40,726"
982,8167,"47,560"
983,8168,"60,491"
984,8169,"56,533"
985,8170,"54,222"
986,8171.01,"46,558"
987,8171.02,"62,500"
988,8172,"44,798"
989,8173,"23,721"
990,8174,"63,162"
991,8175,"33,810"
992,8176,"49,592"
993,8177,"59,116"
994,8179,"49,965"
995,8180,"62,380"
996,8181,"75,769"
997,8182,"68,750"
998,8183,"51,865"
999,8184.01,"77,692"
1000,8184.02,"65,329"
1001,8185,"78,662"
1002,8186,"76,349"
1003,8187,"83,750"
1004,8188,"79,500"
1005,8189,"75,139"
1006,8190,"136,875"
1007,8191,"44,859"
1008,8192,"56,667"
1009,8193,"67,788"
1010,8194,"77,618"
1011,8195,"71,750"
1012,8196,"142,396"
1013,8197,"176,375"
1014,8198.01,"146,797"
1015,8198.02,"129,773"
1016,8199,"166,544"
1017,8200,"202,727"
1018,8201.01,"99,583"
1019,8201.03,"57,824"
1020,8201.04,"69,449"
1021,8202.01,"105,335"
1022,8202.02,"48,882"
1023,8203,"56,859"
1024,8204,"41,637"
1025,8205.01,"63,862"
1026,8205.02,"54,690"
1027,8206.03,"54,977"
1028,8206.04,"38,995"
1029,8206.05,"43,700"
1030,8206.06,"69,902"
1031,8207,"62,652"
1032,8208,"67,617"
1033,8209.01,"46,434"
1034,8209.02,"55,481"
1035,8210.01,"52,930"
1036,8210.02,"55,293"
1037,8211.01,"64,917"
1038,8211.02,"60,977"
1039,8212,"37,266"
1040,8213,"42,799"
1041,8214.01,"41,515"
1042,8214.02,"46,393"
1043,8215,"31,554"
1044,8216,"64,750"
1045,8217,"82,083"
1046,8218,"68,375"
1047,8219,"61,736"
1048,8220,"45,926"
1049,8221.01,"62,500"
1050,8221.02,"47,586"
1051,8222,"90,424"
1052,8223.01,"61,708"
1053,8223.02,"51,198"
1054,8224,"42,900"
1055,8225,"68,464"
1056,8226.01,"76,691"
1057,8226.02,"65,263"
1058,8227.01,"52,238"
1059,8227.02,"57,685"
1060,8228.01,"60,476"
1061,8228.02,"68,256"
1062,8229,"51,761"
1063,8230.01,"45,989"
1064,8230.02,"47,659"
1065,8231.01,"48,964"
1066,8231.02,"59,239"
1067,8232,"62,727"
1068,8233.02,"48,391"
1069,8233.03,"53,801"
1070,8233.04,"44,545"
1071,8234,"47,287"
1072,8235,"48,557"
1073,8236.02,"57,245"
1074,8236.03,"34,688"
1075,8236.04,"84,821"
1076,8236.05,"58,679"
1077,8237.02,"53,930"
1078,8237.03,"53,000"
1079,8237.04,"86,482"
1080,8237.05,"52,212"
1081,8238.01,"75,071"
1082,8238.03,"68,233"
1083,8238.05,"49,769"
1084,8238.06,"52,434"
1085,8239.01,"79,533"
1086,8239.03,"98,060"
1087,8239.04,"75,433"
1088,8240.03,"90,711"
1089,8240.04,"69,732"
1090,8240.05,"100,028"
1091,8240.06,"105,764"
1092,8241.05,"97,382"
1093,8241.06,"88,824"
1094,8241.07,"83,266"
1095,8241.08,"84,496"
1096,8241.13,"99,338"
1097,8241.14,"103,423"
1098,8241.15,"73,591"
1099,8241.16,"57,554"
1100,8241.17,"103,010"
1101,8241.19,"93,597"
1102,8241.20,"98,431"
1103,8241.21,"80,230"
1104,8241.22,"91,502"
1105,8241.23,"71,402"
1106,8243,"25,762"
1107,8244,"31,875"
1108,8245.03,"63,249"
1109,8245.05,"84,663"
1110,8245.06,"67,690"
1111,8245.07,"62,222"
1112,8246.01,"73,235"
1113,8246.02,"57,514"
1114,8247.01,"71,193"
1115,8247.02,"48,257"
1116,8248,"38,546"
1117,8249,"30,682"
1118,8250,"56,214"
1119,8252,"77,188"
1120,8253.02,"61,331"
1121,8253.03,"63,617"
1122,8253.04,"75,154"
1123,8254,"61,360"
1124,8255.01,"50,430"
1125,8255.03,"56,242"
1126,8255.04,"47,724"
1127,8255.05,"62,817"
1128,8256,"37,288"
1129,8257,"43,342"
1130,8258.01,"42,083"
1131,8258.02,"43,117"
1132,8258.03,"49,336"
1133,8259,"42,440"
1134,8260,"42,031"
1135,8261,"51,855"
1136,8262.01,"32,047"
1137,8262.02,"39,493"
1138,8263.01,"52,950"
1139,8263.03,"45,904"
1140,8263.04,"30,357"
1141,8264.01,"52,021"
1142,8264.02,"52,521"
1143,8265,"41,847"
1144,8266,"38,917"
1145,8267,"30,170"
1146,8268,"35,601"
1147,8269.01,"17,679"
1148,8269.02,"20,167"
1149,8270,"29,461"
1150,8271,"22,500"
1151,8272,"40,122"
1152,8273,"17,891"
1153,8274,"19,421"
1154,8275,"30,684"
1155,8276,"35,559"
1156,8277,"40,880"
1157,8278.01,"60,354"
1158,8278.02,"62,292"
1159,8278.04,"69,777"
1160,8278.05,"71,389"
1161,8279.01,"77,746"
1162,8279.02,"51,050"
1163,8280,"40,391"
1164,8281,"49,139"
1165,8282.01,"47,437"
1166,8282.02,"61,067"
1167,8283,"55,595"
1168,8284.01,"70,320"
1169,8284.02,"49,342"
1170,8285.03,"40,018"
1171,8285.04,"44,250"
1172,8285.05,"40,508"
1173,8285.06,"49,352"
1174,8286.01,"79,005"
1175,8286.02,"89,153"
1176,8287.01,"64,531"
1177,8287.02,"49,615"
1178,8288.01,"87,391"
1179,8288.02,"68,389"
1180,8289,"33,621"
1181,8290,"17,727"
1182,8291,"23,016"
1183,8292,"47,782"
1184,8293.01,"68,897"
1185,8293.02,"22,370"
1186,8294.01,"34,861"
1187,8294.02,"35,790"
