zipcode,male_2019,white_2019,median_age_2019
60915,0.48,0.90,35.30
60917,0.51,0.99,37.00
60918,0.53,0.98,48.60
60919,0.49,1.00,48.50
60920,0.49,1.00,45.80
60921,0.51,0.92,42.50
60922,0.54,0.86,32.30
60924,0.50,0.97,48.60
60926,0.48,0.95,58.60
60927,0.48,0.97,47.00
60928,0.48,0.99,47.40
60929,0.44,0.96,35.20
60930,0.47,0.98,40.50
60931,0.51,0.90,38.40
60932,0.41,1.00,50.10
60933,0.52,1.00,47.60
60934,0.52,0.93,39.50
60935,0.53,0.95,38.30
60936,0.49,0.97,44.40
60938,0.49,0.81,41.80
60940,0.51,0.97,46.50
60941,0.52,0.94,40.20
60942,0.52,0.90,43.70
60945,0.47,0.80,45.90
60946,0.47,0.99,37.50
60948,0.52,0.95,46.20
60949,0.50,0.94,38.70
60950,0.53,0.94,44.30
60951,0.57,0.95,42.50
60952,0.50,0.97,38.20
60953,0.49,0.95,45.80
60954,0.55,0.85,38.70
60955,0.53,0.77,41.80
60957,0.49,0.93,42.10
60958,0.48,0.19,43.10
60959,0.49,0.93,50.70
60960,0.55,0.98,41.50
60961,0.54,0.95,39.30
60962,0.53,0.96,35.90
60963,0.48,0.97,36.80
60964,0.51,0.82,41.70
60966,0.49,0.92,46.10
60968,0.48,0.86,41.00
60969,0.65,1.00,24.50
60970,0.46,0.96,48.80
60973,0.46,0.95,34.90
60974,0.47,0.98,50.30
61001,0.51,0.97,54.40
61006,0.49,0.95,43.30
61007,0.63,0.99,43.50
61008,0.50,0.86,38.80
61010,0.47,0.96,39.30
61011,0.52,0.84,53.00
61012,0.51,0.94,35.20
61013,0.49,0.99,45.50
61014,0.49,0.98,49.10
61015,0.43,1.00,35.10
61016,0.51,0.94,51.60
61018,0.50,0.99,44.10
61019,0.49,0.98,47.70
61020,0.49,0.97,31.20
61021,0.55,0.88,42.40
61024,0.52,0.99,47.20
61025,0.54,0.98,43.20
61027,0.70,0.30,26.90
61028,0.51,0.98,51.00
61030,0.50,0.95,37.60
61031,0.48,0.91,43.80
61032,0.47,0.80,44.40
61036,0.49,0.98,57.00
61037,0.41,1.00,66.70
61038,0.52,1.00,47.90
61039,0.53,0.99,31.10
61041,0.45,0.92,42.60
61042,0.56,0.97,44.90
61043,0.49,0.94,30.80
61044,0.53,0.93,40.20
61046,0.48,0.97,53.30
61047,0.48,0.99,47.20
61048,0.53,0.99,51.90
61049,0.49,0.96,36.50
61050,0.52,1.00,49.10
61051,0.54,0.94,40.40
61052,0.53,0.99,55.10
61053,0.49,0.98,52.20
61054,0.47,0.98,46.60
61057,0.43,0.86,48.10
61059,0.41,0.96,31.10
61060,0.56,0.99,45.30
61061,0.50,0.97,53.70
61062,0.53,0.97,47.10
61063,0.53,0.96,38.80
61064,0.52,0.95,44.30
61065,0.51,0.89,35.90
61067,0.49,0.99,56.50
61068,0.51,0.88,38.40
61070,0.47,0.95,41.10
61071,0.50,0.95,42.00
61072,0.49,0.97,43.30
61073,0.51,0.93,40.00
