Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2229231,PULLMAN COMMUNITY CENTER,PULLMAN COMMUNITY CENTER,2622746,10355 S WOODLAWN AVE ,60628,10/2/2018,41.70591652,-87.59412905,"(-87.59412904802028, 41.705916515012575)"
2229450,BOURBON ON DIVISION,BOURBON ON DIVISION,2621528,2050 W DIVISION ST ,60622,10/9/2018,41.90326362,-87.67927827,"(-87.67927826952335, 41.9032636208865)"
2214179,THE KERRYMAN,THE KERRYMAN,1479396,661 N CLARK ST ,60654,9/11/2018,41.89414548,-87.6310425,"(-87.63104250292555, 41.894145480595974)"
2229499,ARGO TEA CAFE-OHARE T2,ARGO TEA (T2/E5),2109577,11601 W TOUHY AVE ,60666,10/10/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2229318,CHIPOTLE MEXICAN GRILL,CHIPOTLE MEXICAN GRILL,1496019,2302 W 95TH ST ,60643,10/3/2018,41.72108295,-87.67978068,"(-87.67978067609734, 41.72108295395987)"
2200668,CROSBY'S KITCHEN,CROSBY'S KITCHEN,2147385,3455-3457 N SOUTHPORT AVE ,60657,8/8/2018,41.94507398,-87.66381617,"(-87.66381617475186, 41.945073982933394)"
2223189,THE FAIRMONT CHICAGO,BANQUET & MEETING RMS,1573767,200 N COLUMBUS DR ,60601,10/1/2018,41.88600583,-87.62082896,"(-87.62082895674074, 41.886005833425465)"
2229352,CHICK-FIL-A STATE & LAKE,CHICK-FIL-A,2501589,177 N State ST ,60601,10/4/2018,41.88527796,-87.62778288,"(-87.62778287517119, 41.88527795660976)"
2229585,HOST INTERNATIONAL INC,VIENNA BEEF/PIZZERIA UNO (T1 C6),34222,11601 W TOUHY AVE ,60666,10/11/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2214026,BEEFY'S,BEEFY'S,12673,5749 S HARLEM AVE ,60638,9/7/2018,41.78687015,-87.8011633,"(-87.80116330469188, 41.78687014877278)"
2213991,CANTON REGIO,CANTON REGIO,2437640,1510 W 18TH ST ,60608,9/7/2018,41.85793794,-87.66425364,"(-87.66425363942379, 41.857937938253876)"
2213880,CASA INDIGO,CASA INDIGO,2602226,1314 W 18TH ST ,60608,9/5/2018,41.85801203,-87.65964706,"(-87.65964706247725, 41.858012033311056)"
2222212,BIRRIERIA JALISCO,BIRRIERIA JALISCO,1772607,2462 W 47TH ST ,60632,9/12/2018,41.80851121,-87.68669535,"(-87.68669535004372, 41.808511205858146)"
2222243,SOPHY HYDE PARK,SOPHY HYDE PARK,2516705,1401-1411 E 53RD ST ,60615,9/12/2018,41.79940284,-87.59171664,"(-87.59171663522477, 41.799402835491115)"
2229272,CHIPOTLE MEXICAN GRILL #1979,CHIPOTLE MEXICAN GRILL,2240918,1522 E 53RD ST ,60615,10/2/2018,41.79966079,-87.58819825,"(-87.58819825147138, 41.79966079322186)"
2229435,JARABE,JARABE,2379881,2255 W TAYLOR ST ,60612,10/9/2018,41.86890481,-87.6834333,"(-87.68343330010201, 41.868904814267175)"
2214053,LITTLE  CAESARS # 1744,LITTLE CAESARS,1999082,5601 S HARLEM AVE ,60638,9/7/2018,41.79004397,-87.80130039,"(-87.80130039473886, 41.790043968551885)"
2229314,RAMEN TAKEYA,RAMEN TAKEYA,2308884,819 W FULTON ,60607,10/3/2018,41.88668123,-87.64835209,"(-87.64835209199197, 41.886681234713045)"
2214089,CHINA HO RESTAURANT,CHINA HO RESTAURANT,2004404,5151 S PULASKI RD ,60632,9/10/2018,41.79901235,-87.72318127,"(-87.72318127025324, 41.79901235310339)"
2213846,PRET ADAMS STREET INC.,PRET A MANGER,2529837,225 S CANAL ST ,60606,9/4/2018,41.87853128,-87.63942746,"(-87.63942745962717, 41.878531278353606)"
2200687,SALSITA,SALSITA,2289529,3706 N HALSTED ST ,60613,8/8/2018,41.94933813,-87.64969635,"(-87.64969635420978, 41.94933813195264)"
2229607,LA TERRAZA GALLO,LA TERRAZA GALLO,2469965,2881 W CERMAK RD ,60623,10/12/2018,41.85174455,-87.69882322,"(-87.69882322090157, 41.85174454712867)"
2214108,THE COMMON CUP,THE COMMON CUP,2088868,1501-1503 W MORSE AVE ,60626,9/10/2018,42.00776254,-87.66796736,"(-87.66796736223017, 42.00776253859794)"
2214051,FULL SHILLING,FULL SHILLING,32813,3724-3726 N CLARK ST ,60613,9/7/2018,41.94970619,-87.65870141,"(-87.65870141348526, 41.94970619451691)"
2200790,HAMBURGER MARY'S CHICAGO,HAMBURGER MARY'S CHICAGO,1765976,5400 N CLARK ST ,60640,8/10/2018,41.97988428,-87.66842948,"(-87.66842948468236, 41.97988428297559)"
2167182,PIECE,PIECE,1118829,1927 W NORTH AVE ,60622,5/3/2018,41.91039719,-87.6761811,"(-87.6761810963592, 41.910397185945115)"
2229529,CHINA PALACE,CHINA PALACE,2476335,1129 W THORNDALE AVE ,60660,10/10/2018,41.98992503,-87.65943958,"(-87.65943957792769, 41.98992502738334)"
2200672,MEZZA GRILLED WRAPS AND PITAS INC,MEZZA GRILLED WRAPS AND PITAS INC,1380994,520 N MICHIGAN AVE ,60611,8/8/2018,41.89168852,-87.62430718,"(-87.62430717812579, 41.89168851736832)"
2214044,CHICAGO DOWNTOWN MARRIOTT,BISTRO CAFE (EMPLOYEE CAFE),33845,540 N MICHIGAN AVE ,60611,9/7/2018,41.89214078,-87.62431278,"(-87.62431278442189, 41.892140783720365)"
2229285,STARBUCKS COFFEE,STARBUCKS COFFEE,1932196,17 E MONROE ST ,60603,10/2/2018,41.88066458,-87.62708936,"(-87.6270893644417, 41.88066457839605)"
2169315,SUBWAY,SUBWAY,2134794,6072-6074 N NORTHWEST HWY ,60631,5/8/2018,41.99165185,-87.79809695,"(-87.79809695431013, 41.99165185328709)"
2222412,LA TERRAZA GALLO,LA TERRAZA GALLO,2469965,2881 W CERMAK RD ,60623,9/12/2018,41.85174455,-87.69882322,"(-87.69882322090157, 41.85174454712867)"
