,census_tract,median_household_income_in_past_12_months
152,1007,"81,458"
153,1101,"79,122"
154,1102,"81,731"
155,1103,"81,014"
156,1104,"69,736"
157,1105.01,"86,512"
158,1105.02,"59,875"
159,1201,"133,622"
160,1202,"105,833"
161,1203,"123,818"
162,1204,"78,750"
163,1301,"43,438"
164,1302,"79,167"
165,1303,"56,882"
166,1401,"42,868"
167,1402,"43,125"
168,1403.01,"46,534"
169,1403.02,"72,713"
170,1404,"70,682"
171,1405,"62,264"
172,1406.01,"48,077"
173,1406.02,"51,982"
174,1407.01,"63,571"
175,1407.02,"58,824"
176,1408,"71,366"
177,1502,"68,157"
178,1503,"76,545"
179,1504.01,"64,225"
180,1504.02,"76,017"
181,1505.01,"69,320"
182,1505.02,"61,967"
183,1506,"67,500"
184,1507,"71,190"
185,1508,"56,917"
186,1510.01,"62,734"
187,1510.02,"55,125"
188,1511,"59,917"
189,1512,"64,875"
190,1601,"69,844"
191,1602,"82,765"
192,1603,"56,790"
193,1604,"56,029"
194,1605.01,"56,190"
195,1605.02,"57,400"
196,1606.01,"68,902"
197,1606.02,"64,917"
198,1607,"79,671"
199,1608,"60,409"
200,1609,"82,872"
201,1610,"82,740"
202,1611,"116,563"
203,1612,"62,250"
204,1613,"47,931"
205,1701,"53,882"
206,1702,"72,122"
207,1703,"64,455"
208,1704,"63,281"
209,1705,"84,569"
210,1706,"72,574"
211,1707,"73,133"
212,1708,"67,571"
213,1709,"63,438"
214,1710,"75,339"
215,1711,"63,111"
216,1801,"51,071"
217,1901,"37,629"
218,1902,"59,246"
219,1903,"55,069"
220,1904.01,"61,383"
221,1904.02,"51,421"
222,1906.01,"49,091"
223,1906.02,"54,464"
224,1907.01,"40,298"
225,1907.02,"39,882"
226,1908,"47,955"
227,1909,"55,833"
228,1910,"50,096"
229,1911,"50,666"
230,1912,"50,863"
231,1913.01,"49,946"
232,1913.02,"46,000"
233,2001,"41,131"
234,2002,"44,077"
235,2003,"38,571"
236,2004.01,"42,109"
237,2004.02,"52,482"
238,2101,"70,234"
239,2104,"51,141"
240,2105.01,"47,917"
241,2105.02,"52,908"
242,2106.01,"66,994"
243,2106.02,"59,408"
244,2107,"64,569"
245,2108,"61,739"
246,2109,"72,366"
247,2203,"88,942"
248,2204,"95,333"
249,2205,"91,389"
250,2206.01,"75,438"
251,2206.02,"46,276"
252,2207.01,"65,417"
253,2207.02,"61,733"
254,2209.01,"47,778"
255,2209.02,"56,667"
256,2210,"47,344"
257,2211,"55,194"
258,2212,"91,354"
259,2213,"56,725"
260,2214,"78,972"
261,2215,"64,495"
262,2216,"133,438"
263,2222,"134,500"
264,2225,"79,250"
265,2226,"80,735"
266,2227,"62,733"
267,2228,"42,039"
268,2229,"46,985"
269,2301,"55,000"
270,2302,"55,605"
271,2303,"39,653"
272,2304,"58,250"
273,2305,"31,288"
274,2306,"41,931"
275,2307,"40,636"
276,2308,"55,365"
277,2309,"43,438"
278,2311,"32,895"
279,2312,"33,627"
280,2315,"31,888"
281,2402,"128,864"
282,2403,"124,141"
283,2405,"156,389"
284,2406,"105,938"
285,2407,"76,875"
286,2408,"48,350"
287,2409,"37,277"
288,2410,"65,900"
289,2411,"75,658"
290,2412,"106,339"
291,2413,"145,938"
292,2414,"104,167"
293,2415,"128,125"
294,2416,"93,583"
295,2420,"82,778"
296,2421,"133,951"
297,2422,"113,618"
298,2423,"93,980"
299,2424,"85,000"
300,2425,"68,036"
301,2426,"57,362"
302,2427,"48,333"
303,2428,"86,806"
304,2429,"85,917"
305,2430,"77,794"
306,2431,"107,734"
307,2432,"123,167"
308,2433,"91,071"
309,2434,"95,764"
310,2435,"104,423"
311,2502,"46,250"
312,2503,"32,225"
313,2504,"45,479"
314,2505,"90,058"
315,2506,"43,625"
316,2507,"40,349"
317,2508,"32,500"
318,2510,"37,656"
319,2511,"22,526"
320,2512,"47,875"
321,2513,"29,917"
322,2514,"30,196"
323,2515,"22,905"
324,2516,"35,264"
325,2517,"38,000"
326,2518,"22,984"
327,2519,"21,281"
328,2520,"20,611"
329,2521.01,"19,023"
330,2521.02,"34,829"
331,2522.01,"32,051"
332,2522.02,"26,230"
333,2601,"14,303"
334,2602,"30,114"
335,2603,"22,236"
336,2604,"19,697"
337,2605,"29,286"
338,2606,"25,625"
339,2607,"22,339"
340,2608,"23,944"
341,2609,"28,750"
342,2610,"34,000"
343,2705,"14,453"
344,2712,"26,984"
345,2713,"24,340"
346,2714,"20,759"
347,2715,"28,846"
348,2718,"17,905"
349,2801,"125,708"
350,2804,"36,698"
351,2808,"17,143"
352,2809,"18,269"
353,2819,"102,902"
354,2827,"80,313"
355,2828,"54,837"
356,2831,"38,798"
357,2832,"74,890"
358,2838,"74,333"
359,2909,"28,226"
360,2912,"23,819"
361,2916,"47,647"
362,2922,"32,237"
363,2924,"31,083"
364,2925,"40,131"
365,3005,"38,113"
366,3006,"44,492"
367,3007,"36,224"
368,3008,"29,949"
369,3009,"26,833"
370,3011,"28,723"
371,3012,"27,328"
372,3016,"35,411"
373,3017.01,"29,773"
374,3017.02,"39,614"
375,3018.01,"34,427"
376,3018.02,"35,925"
377,3018.03,"32,308"
378,3102,"70,428"
379,3103,"51,576"
380,3104,"62,614"
381,3105,"46,875"
382,3106,"35,175"
383,3107,"44,391"
384,3108,"52,152"
385,3109,"41,281"
386,3201,"116,909"
387,3204,"176,000"
388,3206,"101,679"
389,3301,"102,303"
390,3302,"77,578"
391,3403,"26,220"
392,3404,"45,329"
393,3405,"26,042"
394,3406,"12,713"
395,3501,"42,018"
396,3504,"13,587"
397,3510,"44,727"
398,3511,"10,455"
399,3514,"15,997"
400,3515,"24,063"
401,3602,"22,242"
402,3801,"17,600"
403,3802,"23,958"
404,3805,"20,924"
405,3807,"41,250"
406,3812,"27,828"
407,3814,"33,618"
408,3815,"30,962"
409,3817,-
410,3818,"51,607"
411,3819,"46,750"
412,3901,"62,574"
413,3902,"97,786"
414,3903,"22,808"
415,3904,"24,174"
416,3905,"49,042"
417,3906,"63,750"
418,3907,"59,953"
419,4003,"35,000"
420,4004,"35,043"
421,4005,"27,979"
422,4008,"20,571"
423,4101,"43,846"
424,4102,"40,915"
425,4105,"51,643"
426,4106,"36,734"
427,4107,"38,852"
428,4108,"42,201"
429,4109,"57,188"
430,4110,"70,333"
431,4111,"111,250"
432,4112,"84,605"
433,4201,"19,750"
434,4202,"37,143"
435,4203,"39,091"
436,4204,"12,306"
437,4205,"37,806"
438,4206,"23,625"
439,4207,"18,983"
440,4208,"34,333"
441,4212,"20,500"
442,4301.01,"29,750"
443,4301.02,"23,740"
444,4302,"22,945"
445,4303,"17,441"
446,4304,"29,583"
447,4305,"18,432"
448,4306,"30,493"
449,4307,"19,137"
450,4308,"44,286"
451,4309,"41,908"
452,4312,"49,413"
453,4313.01,"21,933"
454,4313.02,"31,377"
455,4314,"28,952"
456,4401.01,"21,856"
457,4401.02,"28,393"
458,4402.01,"26,508"
459,4402.02,"30,100"
460,4403,"53,594"
461,4406,"71,417"
462,4407,"37,228"
463,4408,"25,931"
464,4409,"30,714"
465,4503,"44,333"
466,4601,"35,000"
467,4602,"27,976"
468,4603.01,"35,845"
469,4603.02,"27,391"
470,4604,"39,605"
471,4605,"46,162"
472,4606,"38,315"
473,4607,"23,972"
474,4610,"14,511"
475,4701,"25,287"
476,4801,"61,495"
477,4802,"45,441"
478,4803,"34,107"
479,4804,"50,426"
480,4805,"40,250"
481,4903,"55,667"
482,4904,"51,141"
483,4905,"54,137"
484,4906,"39,527"
485,4907,"39,787"
486,4908,"40,612"
487,4909.01,"38,693"
488,4909.02,"45,273"
489,4910,"24,727"
490,4911,"41,167"
491,4912,"40,167"
492,4913,"30,000"
493,4914,"29,737"
494,5001,"46,517"
495,5002,"27,247"
496,5003,"42,263"
497,5101,"36,081"
498,5102,"44,423"
499,5103,"30,069"
500,5201,"41,875"
501,5202,"38,884"
502,5203,"41,860"
503,5204,"44,226"
504,5205,"62,311"
505,5206,"44,738"
506,5301,"35,875"
507,5302,"36,448"
508,5303,"47,039"
509,5304,"58,065"
510,5305.01,"44,436"
511,5305.02,"44,744"
512,5305.03,"39,231"
513,5306,"32,566"
514,5401.01,"14,066"
515,5401.02,"13,585"
516,5501,"50,637"
517,5502,"53,125"
518,5601,"62,059"
519,5602,"48,250"
520,5603,"51,034"
521,5604,"55,670"
522,5607,"56,452"
523,5608,"70,102"
524,5609,"96,326"
525,5610,"99,667"
526,5611,"84,805"
527,5701,"55,809"
528,5702,"43,571"
529,5703,"44,266"
530,5704,"41,596"
531,5705,"40,000"
532,5801,"41,681"
533,5802,"43,667"
534,5803,"45,888"
535,5804,"41,167"
536,5805.01,"39,706"
537,5805.02,"40,233"
538,5806,"46,419"
539,5807,"44,986"
540,5808,"42,946"
541,5905,"53,295"
542,5906,"40,536"
543,5907,"44,906"
544,6004,"34,127"
545,6006,"36,005"
546,6007,"35,523"
547,6009,"55,018"
548,6103,"33,507"
549,6104,"35,804"
550,6108,"49,250"
551,6110,"19,661"
552,6111,"25,464"
553,6112,"28,212"
554,6113,"26,847"
555,6114,"32,071"
556,6115,"35,330"
557,6116,"32,031"
558,6117,"25,729"
559,6118,"34,333"
560,6119,"25,321"
561,6120,"30,121"
562,6121,"24,900"
563,6201,"56,339"
564,6202,"51,333"
565,6203,"54,667"
566,6204,"64,861"
567,6301,"31,750"
568,6302,"35,707"
569,6303,"52,278"
570,6304,"32,683"
571,6305,"42,434"
572,6308,"45,046"
573,6309,"46,495"
574,6401,"44,013"
575,6403,"68,397"
576,6404,"68,902"
577,6405,"83,574"
578,6406,"44,085"
579,6407,"50,625"
580,6408,"52,381"
581,6501,"44,722"
582,6502,"48,678"
583,6503.01,"57,875"
584,6503.02,"47,321"
585,6504,"48,634"
586,6505,"61,972"
587,6603.01,"23,976"
588,6603.02,"32,880"
589,6604,"43,772"
590,6605,"39,137"
591,6606,"27,423"
592,6607,"28,125"
593,6608,"36,783"
594,6609,"28,817"
595,6610,"31,310"
596,6611,"54,425"
597,6701,"27,450"
598,6702,"22,143"
599,6703,"20,938"
600,6704,"24,667"
601,6705,"26,200"
602,6706,"23,021"
603,6707,"35,074"
604,6708,"22,219"
605,6709,"36,875"
606,6711,"32,426"
607,6712,"21,699"
608,6713,"28,466"
609,6714,"23,636"
610,6715,"26,822"
611,6716,"20,919"
612,6718,"32,163"
613,6719,"52,625"
614,6720,"43,063"
615,6805,"23,675"
616,6806,"28,304"
617,6809,"17,295"
618,6810,"16,064"
619,6811,"21,266"
620,6812,"19,662"
621,6813,"25,927"
622,6814,"38,385"
623,6903,"17,310"
624,6904,"21,106"
625,6905,"32,546"
626,6909,"27,554"
627,6910,"36,806"
628,6911,"20,469"
629,6912,"34,657"
630,6913,"39,853"
631,6914,"32,935"
632,6915,"17,292"
633,7001,"62,391"
634,7002,"64,659"
635,7003.01,"67,765"
636,7003.02,"68,488"
637,7004.01,"68,241"
638,7004.02,"68,935"
639,7005.01,"66,886"
640,7005.02,"95,750"
641,7101,"19,777"
642,7102,"28,014"
643,7103,"35,224"
644,7104,"35,274"
645,7105,"32,656"
646,7106,"32,955"
647,7107,"19,660"
648,7108,"31,233"
649,7109,"30,052"
650,7110,"37,628"
651,7111,"41,985"
652,7112,"42,596"
653,7113,"35,086"
654,7114,"40,777"
655,7115,"47,022"
656,7201,"152,422"
657,7202,"73,300"
658,7203,"122,727"
659,7204,"98,281"
660,7205,"119,500"
661,7206,"110,344"
662,7207,"64,656"
663,7301,"51,313"
664,7302.01,"27,500"
665,7302.02,"52,046"
666,7303,"50,556"
667,7304,"73,077"
668,7305,"60,755"
669,7306,"37,207"
670,7307,"39,893"
671,7401,"91,924"
672,7402,"100,361"
673,7403,"118,640"
674,7404,"85,798"
675,7501,"40,692"
676,7502,"78,594"
677,7503,"93,103"
678,7504,"88,224"
679,7505,"54,896"
680,7506,"37,159"
681,7608.01,"60,291"
682,7608.02,"52,188"
683,7608.03,"41,342"
684,7702.01,"62,853"
685,7702.02,"65,514"
686,7703,"81,938"
687,7704,"68,984"
688,7705,"42,399"
689,7706.01,"72,946"
690,7706.02,"63,112"
691,7707,"59,526"
692,7708,"58,909"
693,7709.01,"69,321"
694,7709.02,"60,000"
695,8001,"250,000+"
696,8002,"194,803"
697,8003,"204,148"
698,8004,"250,000+"
699,8005,"211,042"
700,8006,"214,875"
701,8007,"196,371"
702,8008,"93,906"
703,8009,"125,404"
704,8010,"113,299"
705,8011,"162,328"
706,8012,"194,423"
707,8013,"165,139"
708,8014,"131,944"
709,8015,"103,548"
710,8016.01,"109,886"
711,8016.03,"50,293"
712,8016.05,"138,992"
713,8016.06,"111,912"
714,8016.07,"84,022"
715,8016.08,"119,766"
716,8017.01,"165,972"
717,8017.02,"109,821"
718,8018,"140,789"
719,8019.01,"92,727"
720,8019.02,"150,862"
721,8020.02,"118,542"
722,8020.03,"99,881"
723,8020.04,"45,045"
724,8021,"149,286"
725,8022,"113,750"
726,8023,"112,969"
727,8024.02,"60,833"
728,8024.03,"67,917"
729,8024.04,"59,258"
730,8025.03,"77,006"
731,8025.04,"85,388"
732,8025.05,"56,698"
733,8025.06,"83,333"
734,8026.05,"94,921"
735,8026.07,"112,813"
736,8026.08,"58,212"
737,8026.09,"54,248"
738,8026.10,"90,529"
739,8027.01,"90,106"
740,8027.02,"84,875"
741,8028.01,"102,520"
742,8028.02,"102,045"
743,8029,"130,909"
744,8030.05,"67,222"
745,8030.07,"105,991"
746,8030.08,"108,068"
747,8030.10,"111,042"
748,8030.12,"75,417"
749,8030.13,"78,125"
750,8030.14,"65,243"
751,8030.15,"78,600"
752,8030.16,"98,571"
753,8030.17,"90,799"
754,8031,"117,772"
755,8032,"83,491"
756,8033,"97,353"
757,8034,"116,667"
758,8035,"105,114"
759,8036.03,"157,125"
760,8036.04,"69,417"
761,8036.05,"95,089"
762,8036.06,"54,513"
763,8036.07,"109,929"
764,8036.08,"67,773"
765,8036.10,"65,639"
766,8036.11,"65,889"
767,8036.12,"55,278"
768,8037.01,"91,122"
769,8037.02,"90,685"
770,8038,"84,615"
771,8039.01,"66,347"
772,8039.02,"91,010"
773,8040,"72,627"
774,8041.02,"132,222"
775,8041.04,"116,563"
776,8041.05,"123,594"
777,8041.06,"111,635"
778,8041.08,"85,000"
779,8041.09,"110,833"
780,8042.01,"148,670"
781,8042.02,"122,931"
782,8043.05,"75,682"
783,8043.06,"64,310"
784,8043.08,"72,073"
785,8043.09,"87,742"
786,8043.10,"95,439"
787,8043.11,"97,420"
788,8044.03,"75,417"
789,8044.04,"69,559"
790,8044.05,"59,397"
791,8044.06,"62,727"
792,8045.05,"67,907"
793,8045.06,"95,265"
794,8045.07,"97,684"
795,8045.08,"62,063"
796,8045.09,"74,792"
797,8045.10,"63,422"
798,8045.11,"58,650"
799,8046.03,"64,721"
800,8046.06,"104,968"
801,8046.07,"97,969"
802,8046.08,"85,040"
803,8046.09,"95,315"
804,8046.10,"72,037"
805,8046.11,"83,889"
806,8047.01,"62,756"
807,8047.05,"63,301"
808,8047.06,"119,327"
809,8047.09,"62,179"
810,8047.10,"78,317"
811,8047.11,"69,365"
812,8047.12,"95,949"
813,8047.13,"89,185"
814,8047.14,"76,959"
815,8047.15,"50,373"
816,8047.16,"95,527"
817,8048.03,"81,118"
818,8048.04,"79,351"
819,8048.05,"83,662"
820,8048.06,"73,313"
821,8048.07,"80,957"
822,8048.08,"107,174"
823,8048.09,"99,643"
824,8048.10,"73,136"
825,8049.01,"102,379"
826,8049.02,"83,876"
827,8050.01,"102,135"
828,8050.02,"48,029"
829,8051.05,"54,572"
830,8051.06,"71,979"
831,8051.07,"49,161"
832,8051.08,"58,904"
833,8051.09,"87,889"
834,8051.10,"76,350"
835,8051.11,"61,052"
836,8051.12,"52,150"
837,8052.01,"101,552"
838,8052.02,"83,894"
839,8053.01,"64,331"
840,8053.02,"88,287"
841,8054.01,"79,958"
842,8054.02,"71,044"
843,8055.01,"92,500"
844,8055.02,"125,764"
845,8056,"134,167"
846,8057.01,"113,576"
847,8057.02,"115,417"
848,8058.01,"95,489"
849,8058.02,"90,504"
850,8059.01,"81,250"
851,8059.02,"103,417"
852,8060.01,"49,912"
853,8060.02,"60,682"
854,8060.03,"62,859"
855,8060.04,"47,274"
856,8061.02,"89,139"
857,8061.03,"90,000"
858,8061.04,"49,967"
859,8062.01,"48,151"
860,8062.02,"49,359"
861,8063,"84,974"
862,8064,"84,250"
863,8065.01,"51,667"
864,8065.02,"71,359"
865,8066,"82,708"
866,8067,"114,167"
867,8068.01,"63,580"
868,8068.02,"76,295"
869,8069,"75,186"
870,8070,"60,542"
871,8071,"118,971"
872,8072,"92,547"
873,8073,"58,958"
874,8074,"53,734"
875,8075,"112,565"
876,8076,"68,815"
877,8077,"49,009"
878,8078,"104,875"
879,8079,"105,132"
880,8080.01,"100,549"
881,8080.02,"77,240"
882,8081,"50,291"
883,8082,"70,169"
884,8083.01,"78,828"
885,8083.02,"78,250"
886,8084,"83,634"
887,8085,"94,471"
888,8086,"170,313"
889,8087.02,"68,542"
890,8088,"134,583"
891,8089,"141,250"
892,8090,"138,966"
893,8091,"106,815"
894,8092,"48,648"
895,8093,"36,406"
896,8094,"52,283"
897,8095,"65,685"
898,8096,"90,625"
899,8097,"83,036"
900,8098,"101,364"
901,8099,"122,083"
902,8100,"90,185"
903,8101,"69,436"
904,8102,"61,743"
905,8103.01,"76,910"
906,8103.02,"77,162"
907,8104,"105,598"
908,8105.01,"73,429"
909,8105.02,"54,172"
910,8106,"54,525"
911,8107.01,"43,587"
912,8107.02,"50,707"
913,8108,"73,462"
914,8109,"52,871"
915,8110,"80,208"
916,8111,"48,672"
917,8112,"63,495"
918,8113.01,"66,655"
919,8113.02,"40,511"
920,8114.01,"65,269"
921,8114.02,"62,014"
922,8115,"72,011"
923,8116,"50,703"
924,8117.01,"54,691"
925,8117.02,"50,663"
926,8118,"77,566"
927,8119,"126,250"
928,8120,"117,941"
929,8121,"125,590"
930,8122,"228,229"
931,8123.01,"82,218"
932,8123.02,"139,189"
933,8124,"187,917"
934,8125,"62,500"
935,8126,"56,415"
936,8127,"62,800"
937,8128.01,"62,054"
938,8128.02,"55,179"
939,8129,"111,607"
940,8130,"104,792"
941,8131,"91,250"
942,8132,"130,880"
943,8133.01,"40,536"
944,8133.02,"48,233"
945,8134,"52,274"
946,8135,"55,168"
947,8136,"51,086"
948,8137.01,"41,707"
949,8137.02,"42,123"
950,8138.01,"48,088"
951,8138.02,"41,044"
952,8139,"43,571"
953,8140,"46,225"
954,8141,"42,176"
955,8142,"41,533"
956,8143,"44,440"
957,8144,"44,867"
958,8145,"65,638"
959,8146,"63,814"
960,8147,"66,771"
961,8148,"53,072"
962,8149,"56,663"
963,8150,"58,015"
964,8151,"65,182"
965,8152,"60,687"
966,8153,"69,167"
967,8154,"53,393"
968,8155,"62,167"
969,8156,"63,383"
970,8157.01,"125,486"
971,8157.02,"91,607"
972,8158,"86,458"
973,8159,"52,642"
974,8160,"71,389"
975,8161,"59,485"
976,8162,"52,357"
977,8163,"67,905"
978,8164.01,"54,274"
979,8164.02,"47,976"
980,8165,"40,632"
981,8166,"57,880"
982,8167,"48,381"
983,8168,"60,857"
984,8169,"61,484"
985,8170,"52,200"
986,8171.01,"46,234"
987,8171.02,"63,141"
988,8172,"50,167"
989,8173,"31,500"
990,8174,"59,926"
991,8175,"32,900"
992,8176,"46,591"
993,8177,"61,250"
994,8179,"47,847"
995,8180,"60,066"
996,8181,"91,023"
997,8182,"70,790"
998,8183,"54,597"
999,8184.01,"76,042"
1000,8184.02,"63,243"
1001,8185,"85,958"
1002,8186,"86,331"
1003,8187,"84,417"
1004,8188,"84,053"
1005,8189,"77,711"
1006,8190,"135,208"
1007,8191,"55,076"
1008,8192,"63,846"
1009,8193,"75,639"
1010,8194,"78,571"
1011,8195,"79,464"
1012,8196,"150,273"
1013,8197,"175,078"
1014,8198.01,"162,765"
1015,8198.02,"148,646"
1016,8199,"179,338"
1017,8200,"218,000"
1018,8201.01,"100,339"
1019,8201.03,"64,152"
1020,8201.04,"60,000"
1021,8202.01,"106,317"
1022,8202.02,"52,478"
1023,8203,"58,301"
1024,8204,"41,144"
1025,8205.01,"65,016"
1026,8205.02,"52,894"
1027,8206.03,"57,557"
1028,8206.04,"40,746"
1029,8206.05,"48,148"
1030,8206.06,"73,281"
1031,8207,"59,467"
1032,8208,"71,831"
1033,8209.01,"54,625"
1034,8209.02,"73,646"
1035,8210.01,"57,148"
1036,8210.02,"58,153"
1037,8211.01,"63,429"
1038,8211.02,"63,388"
1039,8212,"39,939"
1040,8213,"43,870"
1041,8214.01,"43,560"
1042,8214.02,"49,300"
1043,8215,"30,222"
1044,8216,"64,102"
1045,8217,"87,500"
1046,8218,"71,316"
1047,8219,"71,393"
1048,8220,"49,359"
1049,8221.01,"70,030"
1050,8221.02,"54,004"
1051,8222,"93,723"
1052,8223.01,"63,973"
1053,8223.02,"54,241"
1054,8224,"41,902"
1055,8225,"71,949"
1056,8226.01,"77,500"
1057,8226.02,"62,843"
1058,8227.01,"55,662"
1059,8227.02,"52,963"
1060,8228.01,"58,569"
1061,8228.02,"64,646"
1062,8229,"57,857"
1063,8230.01,"45,292"
1064,8230.02,"50,024"
1065,8231.01,"49,702"
1066,8231.02,"71,830"
1067,8232,"68,208"
1068,8233.02,"49,662"
1069,8233.03,"63,065"
1070,8233.04,"49,014"
1071,8234,"47,371"
1072,8235,"56,331"
1073,8236.02,"63,017"
1074,8236.03,"40,521"
1075,8236.04,"86,944"
1076,8236.05,"61,250"
1077,8237.02,"56,938"
1078,8237.03,"53,549"
1079,8237.04,"99,306"
1080,8237.05,"58,895"
1081,8238.01,"88,750"
1082,8238.03,"66,287"
1083,8238.05,"54,594"
1084,8238.06,"50,855"
1085,8239.01,"84,116"
1086,8239.03,"83,828"
1087,8239.04,"85,119"
1088,8240.03,"92,984"
1089,8240.04,"71,250"
1090,8240.05,"106,656"
1091,8240.06,"124,519"
1092,8241.05,"106,978"
1093,8241.06,"91,250"
1094,8241.07,"73,825"
1095,8241.08,"85,932"
1096,8241.13,"95,668"
1097,8241.14,"104,861"
1098,8241.15,"69,342"
1099,8241.16,"67,870"
1100,8241.17,"97,899"
1101,8241.19,"98,854"
1102,8241.20,"105,942"
1103,8241.21,"81,480"
1104,8241.22,"99,038"
1105,8241.23,"66,981"
1106,8243,"26,342"
1107,8244,"31,694"
1108,8245.03,"66,027"
1109,8245.05,"80,365"
1110,8245.06,"66,024"
1111,8245.07,"61,774"
1112,8246.01,"75,442"
1113,8246.02,"61,461"
1114,8247.01,"66,840"
1115,8247.02,"52,978"
1116,8248,"46,156"
1117,8249,"34,000"
1118,8250,"63,931"
1119,8252,"80,592"
1120,8253.02,"62,214"
1121,8253.03,"65,216"
1122,8253.04,"65,720"
1123,8254,"63,191"
1124,8255.01,"48,975"
1125,8255.03,"58,531"
1126,8255.04,"45,729"
1127,8255.05,"62,602"
1128,8256,"42,417"
1129,8257,"43,983"
1130,8258.01,"44,456"
1131,8258.02,"44,242"
1132,8258.03,"47,423"
1133,8259,"43,587"
1134,8260,"45,809"
1135,8261,"47,390"
1136,8262.01,"33,989"
1137,8262.02,"39,375"
1138,8263.01,"52,917"
1139,8263.03,"46,837"
1140,8263.04,"34,500"
1141,8264.01,"53,910"
1142,8264.02,"53,221"
1143,8265,"41,653"
1144,8266,"38,269"
1145,8267,"31,725"
1146,8268,"37,846"
1147,8269.01,"25,296"
1148,8269.02,"27,697"
1149,8270,"31,716"
1150,8271,"28,405"
1151,8272,"38,077"
1152,8273,"21,015"
1153,8274,"21,455"
1154,8275,"37,350"
1155,8276,"37,500"
1156,8277,"36,657"
1157,8278.01,"59,213"
1158,8278.02,"67,319"
1159,8278.04,"72,500"
1160,8278.05,"63,750"
1161,8279.01,"78,841"
1162,8279.02,"47,844"
1163,8280,"43,429"
1164,8281,"54,940"
1165,8282.01,"53,343"
1166,8282.02,"59,935"
1167,8283,"57,449"
1168,8284.01,"67,778"
1169,8284.02,"46,713"
1170,8285.03,"38,918"
1171,8285.04,"45,625"
1172,8285.05,"51,485"
1173,8285.06,"54,518"
1174,8286.01,"77,608"
1175,8286.02,"92,630"
1176,8287.01,"74,821"
1177,8287.02,"57,361"
1178,8288.01,"88,225"
1179,8288.02,"70,337"
1180,8289,"39,318"
1181,8290,"19,716"
1182,8291,"31,269"
1183,8292,"48,763"
1184,8293.01,"70,313"
1185,8293.02,"26,167"
