GEOID,perc_below_poverty_2018
17031820604,19
17031820605,20.4
17031820606,14.1
17031820700,6
17031820800,9.2
17031820901,14.5
17031820902,8.4
17031821001,7
17031821002,12.4
17031821101,14.6
17031821102,10.4
17031821200,18.6
17031821300,15.3
17031821401,19.8
17031821402,12.2
17031821500,40.7
17031821600,12.6
17031821700,3.1
17031821800,8.4
17031821900,5.1
17031822000,8.1
17031822101,6.6
17031822102,11.6
17031822200,3.9
17031822301,14.8
17031822302,14.7
17031822400,33.5
17031822500,7.6
17031822601,3.5
17031822602,10.6
17031822701,6.6
17031822702,17.6
17031822801,11.6
17031822802,6.6
17031822900,7.5
17031823001,21.5
17031823002,20.2
17031823101,12.7
17031823102,5.8
17031823200,7
17031823302,10.2
17031823303,16.9
17031823304,10.5
17031823400,21.9
17031823500,10.5
17031823602,6.8
17031823603,32.5
17031823604,2.9
17031823605,14.7
17031823702,17.1
17031823703,29
17031823704,0.9
17031823705,11.9
17031823801,4.5
17031823803,7.2
17031823805,10.8
17031823806,11.2
17031823901,2
17031823903,7.4
17031823904,2.4
17031824003,6.4
17031824004,7.4
17031824005,4.6
17031824006,6.1
17031824105,2.9
17031824106,4.6
17031824107,2
17031824108,14.3
17031824113,3
17031824114,3
17031824115,10.1
17031824116,9.6
17031824117,2.7
17031824119,3.2
17031824120,5.7
17031824121,9.3
17031824122,9.8
17031824123,11.9
17031824300,41.1
17031824400,21
17031824503,4.8
17031824505,5
17031824506,1.5
17031824507,18.9
17031824601,7
17031824602,13.8
17031824701,6.3
17031824702,12.3
17031824800,23.8
17031824900,29.8
17031825000,10.8
17031825200,1.8
17031825302,9
17031825303,9.9
17031825304,7.7
17031825400,10.6
17031825501,10.9
17031825503,12.5
17031825504,2.3
17031825505,15
17031825600,22.4
17031825700,23.6
17031825801,25.6
17031825802,8.4
17031825803,14.2
17031825900,18.3
17031826000,16.2
17031826100,24.4
17031826201,16.8
17031826202,26.9
17031826301,15.2
17031826303,16.3
17031826304,30.4
17031826401,12.5
17031826402,20
17031826500,32.9
17031826600,29.5
17031826700,28.7
17031826800,32.5
17031826901,39.3
17031826902,38.7
17031827000,31.3
17031827100,35.3
17031827200,27.2
17031827300,36.1
17031827400,35.9
17031827500,24.8
17031827600,25.4
17031827700,29.4
17031827801,15
17031827802,10.8
17031827804,9.2
17031827805,11.3
17031827901,12.3
17031827902,24
17031828000,18.6
17031828100,16.9
17031828201,6.8
17031828202,7
17031828300,10
17031828401,6.7
17031828402,4
17031828503,20.6
17031828504,30.9
17031828505,13.9
17031828506,9.4
17031828601,5.7
17031828602,4
17031828701,10.5
17031828702,16.8
17031828801,4.8
17031828802,3.2
17031828900,38.4
17031829000,53.2
17031829100,29.2
17031829200,22.3
17031829301,12.2
17031829302,43
17031829401,37.7
17031829402,13
17031829500,26.2
17031829600,17.3
17031829700,32.3
17031829800,3.9
17031829901,6.6
17031829902,19.5
17031830001,14.7
17031830003,7.9
17031830004,8.2
17031830005,2.4
17031830006,12.4
17031830007,24
17031830008,4.8
17031830100,5.6
17031830201,20
17031830202,22.3
17031830300,20.2
17031830400,15.4
17031830500,31.1
17031830600,23.2
17031830700,25
17031830800,6.1
17031830900,5.5
17031831000,0.7
17031831100,10.2
17031831200,20.9
17031831300,20.9
17031831400,23.9
17031831500,11.7
17031831600,8.7
17031831700,17.1
17031831800,16.5
17031831900,5.6
17031832000,12.1
17031832100,11.4
17031832200,6.4
17031832300,7.2
17031832400,7.3
17031832500,9.2
17031832600,6.4
17031832900,36.1
17031833000,12.3
17031833100,11.6
17031833300,43.1
17031833900,33.9
17031834000,29.3
17031834200,18
17031834300,18.2
17031834400,25.8
17031834500,35.5
17031834600,40.2
17031834700,52.3
17031834800,43.6
17031834900,50.3
17031835000,32.8
17031835100,21.2
17031835200,9.6
17031835500,38.1
17031835600,11.6
17031835700,11.1
17031835800,42.6
17031835900,43
17031836000,29.4
17031836100,41.1
17031836200,21.1
17031836300,25.9
17031836400,29.7
17031836500,24.7
17031836600,17.7
17031836700,38.8
17031836800,68.5
17031836900,40.7
17031837000,47.9
17031837100,24.2
17031837300,33.4
17031837400,43.3
17031837800,32.1
17031838000,36.4
17031838100,36.9
17031838200,34.5
17031838300,19.2
17031838600,51.2
17031838700,45.1
17031838800,42.5
17031839000,16.7
17031839100,11.4
17031839200,22.8
17031839500,32.5
17031839600,13.3
17031839700,20.6
17031839800,17.5
17031839900,14.8
17031840000,13.9
17031840100,15.4
17031840200,13
17031840300,21.9
17031840400,21.8
17031840700,34.5
17031840800,40
17031841000,17.5
17031841100,31.2
17031841200,19.1
17031841300,21.1
17031841400,31.8
17031841500,35.9
17031841600,52.4
17031841700,39.4
17031841800,26.4
