GEOID,unemployment_2017
17031620200,11.1
17031620300,14.2
17031620400,5.6
17031630100,13.5
17031630200,9.6
17031630300,13.8
17031630400,13.7
17031630500,8.3
17031630800,13.3
17031630900,13
17031640100,4.9
17031640300,10.9
17031640400,6.4
17031640500,6.5
17031640600,14
17031640700,11.5
17031640800,14.7
17031650100,13
17031650200,13.2
17031650301,12.5
17031650302,10.5
17031650400,16.9
17031650500,11.2
17031660301,32
17031660302,17.8
17031660400,12.1
17031660500,13.9
17031660600,26.6
17031660700,30
17031660800,16.2
17031660900,33.2
17031661000,34.7
17031661100,15.9
17031670100,28
17031670200,22.6
17031670300,23.3
17031670400,29
17031670500,31.4
17031670600,49.1
17031670700,28.2
17031670800,24.3
17031670900,44.3
17031671100,23.2
17031671200,47
17031671300,34.6
17031671400,40
17031671500,29.7
17031671600,36.1
17031671800,23.7
17031671900,21.8
17031672000,29.3
17031680500,41.3
17031680600,36.2
17031680900,26.9
17031681000,24.5
17031681100,42.9
17031681200,35.8
17031681300,37.5
17031681400,28.5
17031690300,19
17031690400,14
17031690500,15.9
17031690900,17.4
17031691000,17.3
17031691100,29.2
17031691200,20.1
17031691300,34.2
17031691400,12.4
17031691500,34
17031700100,9.7
17031700200,13.4
17031700301,12
17031700302,12.8
17031700401,11.9
17031700402,19.2
17031700501,9.1
17031700502,20.8
17031710100,40.9
17031710200,26.3
17031710300,36.5
17031710400,24
17031710500,20.1
17031710600,16.1
17031710700,15
17031710800,19.6
17031710900,34.3
17031711000,19.3
17031711100,11.4
17031711200,11.2
17031711300,26.5
17031711400,18.3
17031711500,22.2
17031720100,6
17031720200,5.8
17031720300,6
17031720400,8.8
17031720500,1.1
17031720600,6.1
17031720700,9.1
17031730100,25.7
17031730201,17
17031730202,28.6
17031730300,15.1
17031730400,11.6
17031730500,19.5
17031730600,11.7
17031730700,17.4
17031740100,4
17031740200,1.6
17031740300,2.5
17031740400,5.1
17031750100,13.7
17031750200,7.2
17031750300,6.5
17031750400,5.4
17031750500,17.5
17031750600,18.3
17031760801,5.8
17031760802,6.4
17031760803,9.7
17031770201,8.2
17031770202,6.1
17031770300,6.4
17031770400,6.2
17031770500,5.2
17031770601,4.2
17031770602,7.2
17031770700,7.2
17031770800,6.3
17031770901,4.7
17031770902,3.5
17031800100,1.2
17031800200,1.2
17031800300,0
17031800400,3.6
17031800500,2.9
17031800600,6.7
17031800700,4.5
17031800800,1.1
17031800900,4.7
17031801000,4.1
17031801100,2
17031801200,7.4
17031801300,3.9
17031801400,2.3
17031801500,3.3
17031801601,5
17031801603,2.5
17031801605,2
17031801606,3.4
17031801607,2.9
17031801608,4
17031801701,1.8
17031801702,3.1
17031801800,4.9
17031801901,6
17031801902,2.2
17031802002,3
17031802003,4.3
17031802004,7
17031802100,5.6
17031802200,5
17031802300,3
17031802402,5.7
17031802403,2.4
17031802404,3.8
17031802503,8.1
17031802504,3.5
17031802505,3.7
17031802506,3.4
17031802605,4.7
17031802607,1.4
17031802608,4.3
17031802609,1.3
17031802610,2.7
17031802701,5.1
17031802702,4.4
17031802801,7.2
17031802802,3.8
17031802900,3.4
17031803005,4.3
17031803007,3
17031803008,3.9
17031803010,3.9
17031803012,6.2
17031803013,6
17031803014,5.8
17031803015,3.5
17031803016,3.1
17031803017,1.5
17031803100,2.7
17031803200,7.2
17031803300,4.4
