,GEOID,public_schools_count
500,17031530200,22
501,17031530300,42
502,17031530400,42
503,17031530501,22
504,17031530502,22
505,17031530503,42
506,17031530600,22
507,17031540101,4
508,17031540102,26
509,17031550100,25
510,17031550200,2
511,17031560100,18
512,17031560200,28
513,17031560300,10
514,17031560400,18
515,17031560700,10
516,17031560800,10
517,17031560900,10
518,17031561000,10
519,17031561100,10
520,17031570100,18
521,17031570200,18
522,17031570300,18
523,17031570400,18
524,17031570500,18
525,17031580100,43
526,17031580200,43
527,17031580300,18
528,17031580400,18
529,17031580501,18
530,17031580502,18
531,17031580600,18
532,17031580700,47
533,17031580800,18
534,17031590500,29
535,17031590600,29
536,17031590700,29
537,17031600400,39
538,17031600600,25
539,17031600700,25
540,17031600900,25
541,17031610300,29
542,17031610400,29
543,17031610800,29
544,17031611000,29
545,17031611100,29
546,17031611200,29
547,17031611300,29
548,17031611400,29
549,17031611500,29
550,17031611600,29
551,17031611700,29
552,17031611800,29
553,17031611900,29
554,17031612000,29
555,17031612100,29
556,17031620100,18
557,17031620200,18
558,17031620300,36
559,17031620400,36
560,17031630100,29
561,17031630200,47
562,17031630300,18
563,17031630400,18
564,17031630500,47
565,17031630800,36
566,17031630900,36
567,17031640100,18
568,17031640300,10
569,17031640400,10
570,17031640500,10
571,17031640600,10
572,17031640700,10
573,17031640800,28
574,17031650100,18
575,17031650200,18
576,17031650301,18
577,17031650302,18
578,17031650400,18
579,17031650500,28
580,17031660301,18
581,17031660302,18
582,17031660400,18
583,17031660500,18
584,17031660600,31
585,17031660700,13
586,17031660800,31
587,17031660900,31
588,17031661000,31
589,17031661100,18
590,17031670100,13
591,17031670200,13
592,17031670300,13
593,17031670400,13
594,17031670500,13
595,17031670600,13
596,17031670700,13
597,17031670800,13
598,17031670900,13
599,17031671100,13
600,17031671200,13
601,17031671300,13
602,17031671400,13
603,17031671500,13
604,17031671600,13
605,17031671800,13
606,17031671900,13
607,17031672000,13
608,17031680500,30
609,17031680600,30
610,17031680900,17
611,17031681000,30
612,17031681100,30
613,17031681200,17
614,17031681300,35
615,17031681400,30
616,17031690300,17
617,17031690400,32
618,17031690500,32
619,17031690900,17
620,17031691000,17
621,17031691100,17
622,17031691200,18
623,17031691300,17
624,17031691400,17
625,17031691500,17
626,17031700100,46
627,17031700200,28
628,17031700301,10
629,17031700302,10
630,17031700401,10
631,17031700402,10
632,17031700501,28
633,17031700502,28
634,17031710100,18
635,17031710200,18
636,17031710300,18
637,17031710400,18
638,17031710500,18
639,17031710600,18
640,17031710700,18
641,17031710800,18
642,17031710900,18
643,17031711000,18
644,17031711100,18
645,17031711200,18
646,17031711300,18
647,17031711400,18
648,17031711500,18
649,17031720100,38
650,17031720200,20
651,17031720300,20
652,17031720400,25
653,17031720500,25
654,17031720600,20
655,17031720700,20
656,17031730100,40
657,17031730201,38
658,17031730202,38
659,17031730300,18
660,17031730400,42
661,17031730500,22
662,17031730600,42
663,17031730700,42
664,17031740100,5
665,17031740200,5
666,17031740300,5
667,17031740400,5
668,17031750100,42
669,17031750200,20
670,17031750300,25
671,17031750400,25
672,17031750500,20
673,17031750600,42
674,17031760801,12
675,17031760802,16
676,17031760803,4
677,17031770700,4
678,17031770902,4
679,17031805502,8
680,17031807800,4
681,17031808002,4
682,17031808100,8
683,17031810400,12
684,17031810502,12
685,17031810600,12
686,17031810701,1
687,17031810702,1
688,17031810800,1
689,17031810900,1
690,17031811000,1
691,17031811100,1
692,17031812100,15
693,17031813302,15
694,17031814200,37
695,17031820502,10
696,17031820800,10
697,17031820901,28
698,17031820902,28
699,17031821200,24
700,17031821401,4
701,17031821402,4
702,17031821500,4
703,17031821600,18
704,17031822302,3
705,17031822400,3
706,17031823001,3
707,17031823002,3
708,17031823101,3
709,17031823304,5
710,17031825700,2
711,17031826401,4
712,17031826500,4
713,17031826600,4
714,17031826700,4
715,17031826800,4
716,17031828503,20
717,17031828504,20
718,17031828505,20
719,17031828506,20
720,17031828602,20
721,17031828701,20
722,17031828702,20
723,17031828801,20
724,17031828802,20
725,17031828900,20
726,17031829000,20
727,17031829100,20
728,17031829200,20
729,17031829301,20
730,17031829302,20
731,17031829401,20
732,17031829402,20
733,17031829500,20
734,17031829600,20
735,17031829700,20
736,17031830500,55
737,17031830600,13
738,17031830700,12
739,17031830800,26
740,17031830900,31
741,17031831000,27
742,17031831100,27
743,17031831200,29
744,17031831300,27
745,17031831400,15
746,17031831500,28
747,17031831600,1
748,17031831700,14
749,17031831800,18
750,17031831900,13
751,17031832000,13
752,17031832100,7
753,17031832200,14
754,17031832300,25
755,17031832400,14
756,17031832500,7
757,17031832600,12
758,17031832900,7
759,17031833000,31
760,17031833100,7
761,17031833300,32
762,17031833900,23
763,17031834000,40
764,17031834200,28
765,17031834300,40
766,17031834400,15
767,17031834500,32
768,17031834600,17
769,17031834700,17
770,17031834800,17
771,17031834900,13
772,17031835000,31
773,17031835100,49
774,17031835200,28
775,17031835500,29
776,17031835600,29
777,17031835700,29
778,17031835800,20
779,17031835900,39
780,17031836000,10
781,17031836100,39
782,17031836200,25
783,17031836300,10
784,17031836400,10
785,17031836500,10
786,17031836600,25
787,17031836700,69
788,17031836800,44
789,17031836900,44
790,17031837000,24
791,17031837100,24
792,17031837300,44
793,17031837400,24
794,17031837800,24
795,17031838000,24
796,17031838100,31
797,17031838200,56
798,17031838300,7
799,17031838600,24
800,17031838700,57
801,17031838800,47
802,17031839000,9
803,17031839100,12
804,17031839200,14
805,17031839500,14
806,17031839600,24
807,17031839700,68
808,17031839800,39
809,17031839900,43
810,17031840000,43
811,17031840100,14
812,17031840200,39
813,17031840300,72
814,17031840400,54
815,17031840700,62
816,17031840800,37
817,17031841000,14
818,17031841100,14
819,17031841200,25
820,17031841300,25
821,17031841400,37
822,17031841500,57
823,17031841600,37
824,17031841700,37
825,17031841800,32
826,17031841900,46
827,17031842000,14
828,17031842100,32
829,17031842200,12
830,17031842300,18
831,17031842400,18
832,17031842500,32
833,17031842600,29
834,17031842800,18
835,17031842900,25
836,17031843000,44
837,17031843100,86
838,17031843200,39
839,17031843300,49
840,17031843400,37
841,17031843500,62
842,17031843600,20
843,17031843700,17
844,17031843800,29
845,17031843900,26
846,17031980100,28
847,17043841307,13
848,17043841310,13
849,17043841312,13
850,17043841313,13
851,17043841324,13
852,17043841325,13
853,17043841326,13
854,17043841327,13
855,17043841401,13
856,17043841403,13
857,17043841404,13
858,17043841501,13
859,17043841503,13
860,17043841504,13
861,17043841603,13
862,17043841605,13
863,17089852003,13
864,17089852500,13
865,17097862502,8
866,17097862800,8
867,17097862901,8
868,17097862902,8
869,17097863004,8
870,17097863100,8
871,17097863201,8
872,17097863202,8
873,17097863702,8
874,17197883806,20
