ZIP,TRACT
60061,17097863902
60061,17097864513
60061,17097864510
60061,17097864002
60061,17097864512
60061,17097864514
60061,17097864511
60062,17031801500
60062,17031801701
60062,17031801601
60062,17031801702
60062,17031801605
60062,17031801800
60062,17031801603
60062,17031801606
60062,17031801608
60062,17031801607
60062,17031802300
60062,17031801901
60062,17031802402
60064,17097863201
60064,17097863702
60064,17097863100
60064,17097862502
60064,17097863004
60064,17097862800
60064,17097863202
60064,17097862902
60064,17097862901
60065,17031801601
60067,17031803901
60067,17031804108
60067,17031804102
60067,17031803604
60067,17031803800
60067,17031804104
60067,17031805105
60067,17031804105
60067,17031803605
60067,17031803702
60067,17031803603
60067,17031804109
60067,17031804603
60067,17031803701
60067,17031803610
60067,17031803608
60067,17031804106
60068,17031805902
60068,17031805600
60068,17031805801
60068,17031806003
60068,17031806004
60068,17031806002
60068,17031805702
60068,17031805701
60068,17031805802
60068,17031090300
60068,17031805502
60068,17031090200
60068,17031805501
60068,17031810400
60068,17031805901
60069,17097864520
60069,17097864521
60069,17097864522
60069,17097864512
60069,17097864514
60069,17097864801
60069,17097866200
60069,17097864505
60070,17031802605
60070,17031803015
60070,17031802609
60070,17031802608
60070,17031802607
60070,17031801603
60070,17031803014
60070,17031802505
60070,17031802610
60071,17111870101
60071,17111870102
60072,17111870101
60072,17111870603
60072,17111870703
60072,17111870500
60072,17111870604
60073,17097860906
60073,17097861202
60073,17097861107
60073,17097864205
60073,17097861403
60073,17097861011
60073,17097861014
60073,17097861010
60073,17097861301
60073,17097861404
60073,17097861402
60073,17097861304
60073,17097864101
60073,17097861201
60073,17097860904
60073,17097864203
60073,17097861303
60074,17031803607
60074,17031803610
60074,17031803604
60074,17031803605
60074,17031803901
60074,17031803800
60074,17031803017
60074,17031803611
60074,17097864403
60074,17031803608
60074,17031803606
60075,17097866000
60076,17031806802
60076,17031806900
60076,17031807100
60076,17031808002
60076,17031806801
60076,17031806700
60076,17031807700
60076,17031807200
60076,17031807500
60076,17031807400
60076,17031807300
60076,17031807600
60077,17031807300
60077,17031807200
60077,17031806802
60077,17031807800
60077,17031807000
60077,17031807400
60077,17031800900
60077,17031808302
60077,17031807700
60077,17031806801
60077,17031807600
60077,17031806900
60078,17031803701
60079,17097862200
60081,17111870101
60081,17111870704
60081,17097860903
60081,17111870102
60081,17097860904
60081,17097860807
60082,17031800800
60083,17097861604
60083,17097861506
60083,17097866000
60083,17097860400
60083,17097860101
60083,17097861505
60083,17097861009
60084,17097864101
60084,17097864204
60084,17097864203
60084,17097864205
60084,17097864206
60085,17097862200
60085,17097861902
60085,17097862402
60085,17097861510
60085,17097861702
60085,17097862401
60085,17097862502
60085,17097863601
60085,17097862000
60085,17097862501
60085,17097866100
60085,17097863201
60085,17097862603
60085,17097862100
60085,17097861504
60085,17097862604
60085,17097862700
60085,17097862605
60085,17097862800
60085,17097861507
60085,17097862300
60085,17097861804
60086,17097863004
60087,17097861902
60087,17097861803
60087,17097861507
60087,17097860600
60087,17097866000
60087,17097862200
60087,17097861504
60087,17097861506
60087,17097861804
60087,17097861901
60087,17097862100
60087,17097861702
60087,17097861701
60087,17097860400
60087,17097866100
60088,17097863005
60088,17097863003
60088,17097863100
60088,17097863004
60089,17097864521
60089,17097864516
60089,17031802503
60089,17031803012
60089,17031803010
60089,17031803007
60089,17097864505
